"","ctrl.tlsp","ko.tlsp"
"Cgn",-0.8782562886913,0.104153948679024
"Pdgfb",-0.419294702256583,-0.0437994361314461
"ENSMUSG00000073234",0.111716559547078,0.447988734284647
"Csf1",0.139236744945818,-0.0385248530318906
"Plekhh1",-0.326655899347331,0.153464331894275
"Rrad",-0.557211409947599,-0.278556435124975
"Dot1l",-0.172302073673725,0.38623354959633
"Ccdc88c",-0.342224635351909,0.065984390318544
"Errfi1",0.0513318299628198,0.182664714300639
"Sik1",-0.118322655605107,-0.271400319010847
"Kcnk10",0.140228795635435,0.279270954310983
"Ccl1",-0.453216272340309,0.298644402474621
"Zbtb46",-0.11450289716334,0.478414867158299
"Ccl2",-0.492966967462843,-0.495013533079281
"Micall2",-0.578488495352639,-0.217489443946238
"Slco5a1",0.0100091883700513,-0.0280571687904185
"Wnt11",0.240151072923964,0.279189744256039
"Tjp2",0.0222200682533901,0.258435810154551
"Ccl7",-0.653837588333821,-0.493993846298659
"Birc3",-0.126317259475867,-0.247802183168936
"Angptl4",-0.515301109645699,-0.466846343822995
"Bahcc1",-0.402172840872301,0.0694713722959437
"Bdkrb2",-0.160272416470187,-0.102503163746277
"Icam1",-0.0782603352758923,-0.204051306527809
"Nfkb1",0.0762294290852792,0.139045545271937
"Nfkb2",-0.0843683900003083,-0.0777428403365005
"Nfkbie",-0.0520570200353907,-0.061911171356597
"Rab11fip1",-0.955139864139505,-1.0218276818061
"Relb",0.0265318534228622,0.0613355027807154
"Rhof",-0.093802611524119,-0.107423491106015
"Ripk2",0.188319021603285,0.112221925513641
"Trim47",0.113456871552965,-0.212163130976086
"Vcam1",0.306973740578079,0.214596324131444
"Glrx",-0.279697701155242,-0.562907694252866
"Slco2a1",-0.377612689481176,0.148499450913451
"Ngef",-0.207756958258296,0.135207787131236
"Rffl",-0.530875605146215,-0.219693369332169
"Gbp2",-0.228335093402711,-0.092598978885936
"Il34",-0.268498892842586,0.0990310516100785
"Gjb2",-0.616752701762479,0.403974995688501
"Slc7a2",-0.279321560533537,-0.327585347539713
"Sod2",-0.826102919038767,-0.834726633582691
"Tnip1",-0.445993771137361,-0.268367939113687
"Mt2",-0.421910488045788,-0.593829785082486
"Ch25h",-0.848728287380774,-0.760397886649109
"Mnda",-0.492621052045385,-0.638369752905245
"Ikbke",-0.837855183703133,-0.559685277484613
"Adarb1",-0.631342836163416,-0.653756872094378
"Ifi203,Gm16340,LOC102641031",-0.693880841273197,-0.652518106415933
"Cx3cl1",-0.47573786593086,-0.13863748880513
"Gch1",-0.293600209524828,-0.129284060116789
"ENSMUSG00000041481",-0.696129354394141,-0.610763324241365
"Atp2b4",-0.159610624051605,-0.181620612369529
"B4galt5",-0.348836517259682,-0.188684050126921
"Cebpb",-0.290496773164217,-0.521919034535865
"Gda",-0.202485075045611,0.17671820135986
"Il1r1",-0.395088967801605,-0.0976534416591854
"Jak2",-0.485496387763456,-0.381587547539421
"Nxph3",-0.0211628838533918,0.0978876182563199
"Osmr",-0.477840617139748,-0.516057357484077
"Rab20",-0.138284444271141,-0.102020825969481
"Sdc4",-0.526900124506407,-0.0845968447481096
"St3gal1",-0.575170925541943,-0.323620947424506
"Ifnb1",-0.591242184303473,-1.01574934110619
"Csf3",-0.678762072933282,-0.962541642660687
"Cxcl3",-0.668058634484681,-1.10490399889356
"Ccl3",-1.21812871219504,-1.33975797625789
"Il1a",-1.19759588482258,-1.33460457598864
"Nfkbia",-0.380837957405309,-0.497243323463375
"Slfn2",-0.704302727144483,-0.779154222095674
"Nos2",-0.907819290010413,-0.828617762210439
"Irg1",-1.09416722786505,-1.30318772206877
"Hivep3",-0.467489143399625,-0.299725962768592
"Ifih1",-0.991680913008049,-0.917836303295356
"Oasl1",-0.962503828869222,-0.743847694928817
"Ptger2",-0.947605664477524,-0.274403140564375
"Rsad2",-0.705031134279313,-0.831588207130124
"Tnfaip2",-0.550990038770177,-0.517233027465074
"Tnfsf11",-0.424474086902372,-0.215731883406716
"Slc39a4",-0.821545386547138,-0.56206996929207
"Il1rap",-0.655661908395967,-0.693264526712234
"Cd274",-0.553912153292135,-0.335215701790399
"Tmem158",-0.763311757393607,0.673304632004011
"Slco3a1",-0.357924703045571,-0.132664836381062
"Egln3",0.172268591465788,0.379109166347506
"Adtrp",0.0164543193544732,0.50017332947815
"Grem2",-0.205584149930478,-0.164335989963119
