"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Hivep3",0.294672758243432,0.545961306847994,0.602595309083782,1,0.63440143540608,0.0780997892983254,0.294672758243432,0.652616600819658,0.685317176917186,0.474703173721763,0.239777407932446,0.0118289021075872,0.221241152985405,0.425960326316013,0.482666002786751,0.794619908594035,0.484777016460895,0.142127152256093,0.221241152985405,0.476488445004982,0.491295999466834,0.612823823006225,0.249928527722598,0.134714950810864
"Icam1",0.05588090191832,0.354018506040727,0.739601357606762,0.860115683702216,0.371568890646134,0.149504269230227,0.05588090191832,1,0.955913179999138,0.179147932523039,0.154013104391393,0.00888976480605424,0.0911746496938586,0.272187331560105,1.1216309078607,2.08713918865989,1.6398112399383,0.540486937298169,0.0911746496938586,1.31711041474321,1.65933003440036,1.27252868264227,0.445650732537183,0.0946836785956399
"Ier2",0.145422422507135,0.440926952949013,1,0.142915758053185,0.079189011648685,0.268065454838353,0.145422422507135,0.522711628087557,0.439120117173904,0.0773124146529822,0.23177125615543,0.0398797814078726,0.294946136698996,0.418269359978507,0.619747257882573,0.179380240311315,0.354328818774856,0.295361789685482,0.294946136698996,0.487963372135147,0.319513958295873,0.131928380067781,0.383234010642153,0.22103419397823
"Ier3",0.0987708558378516,0.238983747310017,1,0.41642673958273,0.152431746099655,0.315208836561425,0.0987708558378516,0.744722019806873,0.48152562391822,0.196649005183701,0.177018687479649,0.0358026216709239,0.177628725072149,0.2533139639434,0.787840337799317,0.6850859787785,0.6131190912626,0.586547201563149,0.177628725072149,0.578793977622074,0.447306407998543,0.290548086833501,0.289471617020822,0.221422592058771
"Ifi203,Gm16340,LOC102641031",0.070144829073926,0.0312433916743213,0.113584035057803,0.19100625561167,0.303100996436997,1,0.070144829073926,0.0519294361816892,0.115203097617759,0.23900069935509,0.0743292169801024,0.0377288890631667,0.188568515239193,0.122228835324239,0.264763502970994,0.510965745352642,1.27125750507111,4.14520138598315,0.188568515239193,0.164944895760059,0.248343144521354,0.41569277370383,0.631133015139265,0.390492449510147
"Ifih1",0.0957789084710493,0.0926841865344984,0.624914689750686,1,0.435164721319487,0.109712523309935,0.0957789084710493,0.0875477412240389,0.0753114360256599,0.235076264683847,0.086462944032649,0.0111047006194792,0.0747155819855011,0.110352179903674,0.451118021873159,0.635036848683737,0.447104316381736,0.156721779471482,0.0747155819855011,0.0920835709952759,0.0949060329811152,0.275585098683454,0.219285055357923,0.0830086813330983
"Ifnb1",0,0,1,0.0683894798855886,0,0,0,0,0,0,0,0,0,0.0280642043299914,0.0970064438331638,0.0225614757213438,0,0.0741241405941769,0,0,0.0226834409636514,0,0,0
"Ifrd1",0.104355062410311,0.452542451968715,0.742305440663434,0.134121970688327,0.0901532219612999,0.0713820425688435,0.104355062410311,1,0.511837435199292,0.0884313283505766,0.0813080813869561,0.0118478751466895,0.105528315097544,0.38091181364045,0.642235357785975,0.121547741704922,0.159970826366156,0.11603876649233,0.105528315097544,1.1061145214722,0.34541616039465,0.124289010877982,0.113831724538982,0.0569151311472919
"Ikbke",0.231480432997092,0.269768649799042,0.260066669137048,0.738756227181908,1,0.473876547698275,0.231480432997092,0.346186965418616,0.35620503469527,0.303975122640932,0.409612660720809,0.0509842873411775,0.236829341021015,0.242776709754961,0.268637222664353,0.876877188409046,1.45861864470642,0.970677074507071,0.236829341021015,0.295472857077362,0.445122786381457,0.786040322850773,0.630774838211002,0.359690691364912
"Il1a",0.00103693095551246,0.498286457556425,0.973077098088009,1,0.442576870449524,0,0.00103693095551246,0.133558337525063,0.0139544344566442,0,0.00517301832740832,0,0,0.153374550587291,0.416194507502659,0.212296599058526,0.217271738549623,0.104331399762588,0,0.0322936629916591,0.00912212993807891,0.0060440699694893,0.00359497381663731,0
"Il1r1",0.445946306340216,0.454806643640353,0.618263318343677,0.887319549543559,0.687248540041721,0.725388910705269,0.445946306340216,0.715343236983272,1,0.649899487149193,0.329320206955308,0.0868144142519205,0.439105080016908,0.632915547387991,1.34337510959863,1.35376307378749,1.12408923978464,1.12133792467844,0.439105080016908,0.824153828909007,1.66460302796151,1.09575170299358,1.06673837090783,0.700063702097702
"Il1rap",0.310680148660874,0.489197521219981,0.406701208485512,0.689951670614159,1,0.517288185740498,0.310680148660874,0.485671840982922,0.460932448095224,0.785567439601077,0.350939496800877,0.0412298664321265,0.335054180434651,0.672243573330215,0.840686263244696,0.940738192495988,1.48907931433266,1.08525487307997,0.335054180434651,0.656540169676878,0.836359480083323,0.998691052972839,0.790627911710397,0.299588140387157
"Il1rl1",0.145934279264388,0.199158192712495,0.589005570128491,1,0.360376466023161,0.416170135181818,0.145934279264388,0.676787175341781,0.811142581934716,0.555614870186021,0.234191636998183,0.046762437708961,0.166311950335562,0.192055935271031,0.708585353498628,0.939240031813649,0.39292288632037,0.593289156782025,0.166311950335562,0.667163049008354,0.928845170685233,0.899231041180149,0.365063293308579,0.271365706653985
"Il34",0.142373787275569,0.13131359216459,0.373654633250207,1,0.773231702407115,0.434909076929396,0.142373787275569,0.578631044217734,0.847710974566845,0.565529953317154,0.192641096285906,0.00767286435020995,0.180971576769675,0.300698114201833,0.782106354543226,1.30123940090162,1.14922706590534,0.415811465228126,0.180971576769675,0.633672441160983,1.67924349376191,1.39261608157999,0.478925250048318,0.0858726865464165
"Irf1",0.0365424496316172,0.22645874527282,0.603810511257377,0.240741770734736,0.121851856453087,0.0783489683948451,0.0365424496316172,1,0.560058155276656,0.0796673562656009,0.0597868010683924,0.0075037419010637,0.0648092867763747,0.164391395173484,0.75747354615118,0.580538117636007,0.441592484843922,0.259825584608878,0.0648092867763747,1.03620244456013,0.851443589351578,0.431073258002548,0.0985554978497216,0.0810993663949308
"Irg1",0.00184081035792847,0.0897985426592302,0.450279893774635,1,0.953767449367609,0.0638640002659372,0.00184081035792847,0.0612246057307929,0.0233989310876204,0.0108128355583314,0.00727447780604094,0.000813740654164895,0.00444318811333278,0.2287839133482,0.258985433389894,0.792109539145165,0.810322350863389,0.453774752100849,0.00444318811333278,0.0226855950907674,0.0209525158079334,0.11471330298086,0.0227443863919694,0.00834259212973615
"Itgal",0.0168214369677839,0.0625068760056378,0.0972431241640154,0.33702827018361,1,0.0782626622227696,0.0168214369677839,0.0940229361809023,0.0790616609234041,0.041443586284237,0.0914119343716766,0.00208112379094649,0.0218746871916425,0.0394659991801601,0.0162697881390647,0.198758830869155,0.325219423905179,0.270674968826492,0.0218746871916425,0.0327921830837797,0.0270087147067648,0.0978291830521769,0.0741528504952309,0.077066053284571
"Itpkc",0.127514522633729,0.156427619474909,0.469232843583571,0.284539868402279,0.133072219982279,0.123701053097234,0.127514522633729,1,0.40722268999287,0.19186007213284,0.173165873439221,0.0235841861185478,0.194885408463178,0.150479955085952,0.416725454017731,0.33594791014494,0.250952913053246,0.103259167226001,0.194885408463178,0.858034958622741,0.366583784181942,0.212915939281217,0.172097564557583,0.141247731480472
"Jak2",0.21369265743311,0.21998068693072,0.411465106434022,1,0.419469084783804,0.33647309342596,0.21369265743311,0.316504554215386,0.664658344559696,0.435171517320374,0.192554951959727,0.0393316241674097,0.227178227276369,0.257305237480322,0.631514188482718,1.64604519593586,1.03134058939301,0.870670632504071,0.227178227276369,0.392251860161517,1.18499364309669,1.12336587783909,0.423453574659408,0.222896038834093
"Jun",0.260638799356566,0.371008446813697,1,0.270980017172838,0.221323217131461,0.402299479667559,0.260638799356566,0.516972303100061,0.478422741121213,0.277995636091897,0.397304694370969,0.0451729545354453,0.558614085914015,0.444414797896102,0.721618612229592,0.344091506017122,0.602611645525274,0.53752575216822,0.558614085914015,0.680078295230368,0.422124539459935,0.306691902162698,0.767958223560606,0.484292257511825
"Junb",0.11162618606264,0.272048263610531,1,0.231369402629568,0.159211769454302,0.187774556737506,0.11162618606264,0.387313352415619,0.452724532766469,0.121428554792581,0.139761506230679,0.0167791391527137,0.242081232443111,0.276147903915187,0.513050520190218,0.345919398477553,0.486255900037312,0.344322729294009,0.242081232443111,0.377552674342897,0.474775677122481,0.281861894961975,0.31262569440045,0.248468846374155
