"","rmsd","n","delta","gene","kb","kt","Kd","k_deg","tau"
"59",0.181562036562679,6,-0.00216021445794742,"St3gal1",0.0555472643685368,0.260462477887382,0.0615438731342988,0.00690823950621921,61.7433228193612
"60",0.184679136047698,6,-0.125038430103709,"Csf3",0.00100038299741087,60.6360154531146,2.46063315601518,0.0113939749635052,87.8543929961447
"61",0.187646278770193,2,-0.0127162053181143,"Nfkbie",0.00102414528038018,847.368099854703,3.30405442364543,0.00831703215621916,36.887977686669
"62",0.187702301371925,2,-0.0593688572772241,"Zc3h12a",0.0046020624214954,1000,10.4559558516612,0.00959062521225825,0.104011237671259
"63",0.198789944394328,1,0,"B4galt5",0.00100015301941893,20.1686514040926,0.0859786710806992,0.00676885221965734,68.7613330444415
"64",0.202261797688265,4,-0.0780241220094244,"Irf1",0.00393569307456581,4.64091624452733,2.78252796045289,0.0188867125831999,20.5885018798001
"65",0.204471980454923,1,0,"Ripk2",0.001,999.999999170318,902.694607056418,0.00777941262900779,35.2003419472307
"66",0.204843873545637,4,-0.0417372310721298,"Sdc4",0.0103507853204185,12.7092434155854,2.46452062363581,0.00244226558697214,12.2088948089533
"67",0.205204657733094,1,0,"Zc3h12c",0.00144871245148685,5.95860914906211,602.223383671924,0.00921004990821368,32.3992885818947
"68",0.214566043425779,3,-0.0896040107876698,"Rsad2",0.00100000203059545,22.7071987490535,1.7368207106256,0.00400417544694463,0.0913232208761548
"69",0.21647878245272,5,-0.0544098159677648,"Cxcl10",0.00291504626691853,49.1115540643108,2.85036934720747,0.00676885221965734,10.2935766047353
"70",0.219748204526772,6,-0.00276770193541456,"Gda",0.0733826717766969,0.141460977823104,0.0672150768512087,0.00415058564051217,82.2451693292133
"71",0.230855429068053,1,0,"Hivep3",0.00552632829552359,305.898980373749,1000,0.00846482810966739,52.140435338974
"72",0.240620297166933,6,-0.00633048042412737,"Cgn",0.0406810186175748,0.25852655668924,0.225104986193442,0.00475504610904357,31.1053404818182
"73",0.254104174012919,1,0,"Zbtb10",0.00145693038131557,5.71836993851998,1000,0.0121746436505966,4.47597452936917
"74",0.319961601240853,6,-0.0118353700531107,"ENSMUSG00000097418",0.0347978265541251,0.529417914931355,0.170485149815194,0.00630865141970549,3.71912867376258e-05
"75",0.36145881145651,2,-0.00834414838879294,"Gdf15",0.0557641101178621,0.244371080918565,0.575706776643335,0.00938562505672159,1.72883903221909e-05
"76",Inf,1,NA,"Ccl5",0.1,0.1,0.1,NA,0.1
"77",Inf,1,NA,"Ccl1",0.1,0.1,0.1,NA,0.1
"78",Inf,1,NA,"Adtrp",0.1,0.1,0.1,NA,0.1
"79",Inf,1,NA,"Kcnk10",0.1,0.1,0.1,NA,0.1
"80",Inf,1,NA,"Lcn2",0.1,0.1,0.1,NA,0.1
"81",Inf,1,NA,"Ptger2",0.1,0.1,0.1,NA,0.1
"82",Inf,1,NA,"Acpp",0.1,0.1,0.1,NA,0.1
"83",Inf,1,NA,"Nos2",0.1,0.1,0.1,NA,0.1
"84",Inf,1,NA,"Sod2",0.1,0.1,0.1,NA,0.1
"85",Inf,1,NA,"Wnt11",0.1,0.1,0.1,NA,0.1
"86",Inf,1,NA,"Slc39a4",0.1,0.1,0.1,NA,0.1
"87",Inf,1,NA,"Itgal",0.1,0.1,0.1,NA,0.1
"88",Inf,1,NA,"Fpr1",0.1,0.1,0.1,NA,0.1
