"time","caRNA","sti","geno","gene"
1.41666666666667,0.16697697197927,"tnf","wt","Rel"
1.5,0.152418543757862,"tnf","wt","Rel"
1.58333333333333,0.151077486089986,"tnf","wt","Rel"
1.66666666666667,0.150231242584616,"tnf","wt","Rel"
1.75,0.149634823581516,"tnf","wt","Rel"
1.83333333333333,0.149244867856155,"tnf","wt","Rel"
1.91666666666667,0.149017678775551,"tnf","wt","Rel"
2,0.148909391737922,"tnf","wt","Rel"
2.08333333333333,0.148907358187247,"tnf","wt","Rel"
2.16666666666667,0.148907358187247,"tnf","wt","Rel"
2.25,0.148907358187247,"tnf","wt","Rel"
2.33333333333333,0.148907358187247,"tnf","wt","Rel"
2.41666666666667,0.148907358187247,"tnf","wt","Rel"
2.5,0.148907358187247,"tnf","wt","Rel"
2.58333333333333,0.148907358187247,"tnf","wt","Rel"
2.66666666666667,0.148907358187247,"tnf","wt","Rel"
2.75,0.148907358187247,"tnf","wt","Rel"
2.83333333333333,0.148907358187247,"tnf","wt","Rel"
2.91666666666667,0.148907358187247,"tnf","wt","Rel"
3,0.148907358187247,"tnf","wt","Rel"
3.08333333333333,0.148907358187247,"tnf","wt","Rel"
3.16666666666667,0.148907358187247,"tnf","wt","Rel"
3.25,0.148907358187247,"tnf","wt","Rel"
3.33333333333333,0.148907358187247,"tnf","wt","Rel"
3.41666666666667,0.148907358187247,"tnf","wt","Rel"
3.5,0.148907358187247,"tnf","wt","Rel"
3.58333333333333,0.148907358187247,"tnf","wt","Rel"
3.66666666666667,0.148907358187247,"tnf","wt","Rel"
3.75,0.148907358187247,"tnf","wt","Rel"
3.83333333333333,0.148907358187247,"tnf","wt","Rel"
3.91666666666667,0.148907358187247,"tnf","wt","Rel"
4,0.148907358187247,"tnf","wt","Rel"
4.08333333333333,0.148907358187247,"tnf","wt","Rel"
4.16666666666667,0.148907358187247,"tnf","wt","Rel"
4.25,0.148907358187247,"tnf","wt","Rel"
4.33333333333333,0.148907358187247,"tnf","wt","Rel"
4.41666666666667,0.148907358187247,"tnf","wt","Rel"
4.5,0.148907358187247,"tnf","wt","Rel"
4.58333333333333,0.148907358187247,"tnf","wt","Rel"
4.66666666666667,0.148907358187247,"tnf","wt","Rel"
4.75,0.148907358187247,"tnf","wt","Rel"
4.83333333333333,0.148907358187247,"tnf","wt","Rel"
4.91666666666667,0.148907358187247,"tnf","wt","Rel"
5,0.148907358187247,"tnf","wt","Rel"
5.08333333333333,0.148907358187247,"tnf","wt","Rel"
5.16666666666667,0.148907358187247,"tnf","wt","Rel"
5.25,0.148907358187247,"tnf","wt","Rel"
5.33333333333333,0.148907358187247,"tnf","wt","Rel"
5.41666666666667,0.148907358187247,"tnf","wt","Rel"
5.5,0.148907358187247,"tnf","wt","Rel"
5.58333333333333,0.148907358187247,"tnf","wt","Rel"
5.66666666666667,0.148907358187247,"tnf","wt","Rel"
5.75,0.148907358187247,"tnf","wt","Rel"
5.83333333333333,0.148907358187247,"tnf","wt","Rel"
5.91666666666667,0.148907358187247,"tnf","wt","Rel"
6,0.148907358187247,"tnf","wt","Rel"
6.08333333333333,0.148907358187247,"tnf","wt","Rel"
6.16666666666667,0.148907358187247,"tnf","wt","Rel"
6.25,0.148907358187247,"tnf","wt","Rel"
6.33333333333333,0.148907358187247,"tnf","wt","Rel"
6.41666666666667,0.148907358187247,"tnf","wt","Rel"
6.5,0.148907358187247,"tnf","wt","Rel"
6.58333333333333,0.148907358187247,"tnf","wt","Rel"
6.66666666666667,0.148907358187247,"tnf","wt","Rel"
6.75,0.148907358187247,"tnf","wt","Rel"
