"","b1.TL.ctrl","b1.IL.ctrl","b1.TI.ctrl","b1.TL.ko","b1.IL.ko","b1.TI.ko","b2.TL.ctrl","b2.IL.ctrl","b2.TI.ctrl","b2.TL.ko","b2.IL.ko","b2.TI.ko"
"Tnfrsf11b",0.17479482393437,0.0162081823610915,0.158586641573278,-0.00663719539751335,-0.028593782835952,0.0219565874384386,-0.268527916190792,-0.618556286902924,0.350028370712131,-0.131623275049984,-0.251803391433648,0.120180116383664
"Arid5a",-0.352019441875493,-0.463971240481351,0.111951798605858,0.075753088312518,0.174052474148061,-0.0982993858355426,-0.107194098867765,-0.293373627540533,0.186179528672768,-0.255275044037912,-0.476998693491959,0.221723649454048
"Trib1",-0.185120092133103,-0.212092890859678,0.0269727987265743,-0.253767475718546,-0.0565887558115179,-0.197178719907028,0.0549667170425739,0.0943726797764849,-0.039405962733911,-0.25766722014531,-0.162729689786036,-0.0949375303592735
"Rasgef1a",-0.12354500947017,-0.211553787424028,0.0880087779538578,0.735332379378544,0.0859098500108441,0.6494225293677,0.225607651937921,-0.208852258922635,0.434459910860556,0.147768095240031,-0.345921059211469,0.4936891544515
"Klf10",-0.286085167959108,-0.39519463382285,0.109109465863742,0.0631975630138239,0.0405571747127687,0.0226403883010552,-0.118299709029585,-0.311858543589551,0.193558834559967,0.147748795732476,-0.169311976769715,0.317060772502191
"Irf1",-0.441430766525034,-0.643318328326192,0.201887561801159,0.296129433666859,-0.0998318251669984,0.395961258833857,0.134473405898826,-0.455998906824144,0.59047231272297,-0.022797068207467,-0.448506387584328,0.425709319376861
"Tnfaip3",-0.336914455204636,-0.557493869734643,0.220579414530006,0.109175324491751,-0.0828590569350364,0.192034381426788,-0.169244648633852,-0.735979397682957,0.566734749049105,-0.467540643096036,-0.770032840055359,0.302492196959323
"Nr4a3",-0.0217464609613793,-0.0573032220699241,0.0355567611085448,0.0480570441965205,0.154510401016544,-0.106453356820023,0.0313773381621191,-0.0662427559299843,0.0976200940921034,-0.0747379766554904,-0.14349465321763,0.0687566765621394
"Rel",-0.550764852137614,-0.565274804080394,0.0145099519427794,-0.0703225673092293,0.138512893655213,-0.208835460964442,-0.441319828190049,-0.590916893975675,0.149597065785626,-0.593607459799592,-0.740481572051085,0.146874112251494
"Klf5",-0.24547374724828,-0.0883382607721503,-0.15713548647613,-0.237452286975576,0.113298411320968,-0.350750698296544,0.0764784583540106,0.230022908515708,-0.153544450161698,-0.217396785757285,0.074537189209314,-0.291933974966599
