"sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio","X0.ifnr.l.1","X0.5.ifnr.l.1","X1.ifnr.l.1","X2.ifnr.l.1","X3.ifnr.l.1","X5.ifnr.l.1","X8.ifnr.l.1","X0.ifnr.t.1","X0.5.ifnr.t.1","X1.ifnr.t.1","X2.ifnr.t.1","X3.ifnr.t.1","X5.ifnr.t.1","X8.ifnr.t.1","X0.ifnrikba.l.1","X0.5.ifnrikba.l.1","X1.ifnrikba.l.1","X2.ifnrikba.l.1","X3.ifnrikba.l.1","X5.ifnrikba.l.1","X8.ifnrikba.l.1","X0.ifnrikba.t.1","X0.5.ifnrikba.t.1","X1.ifnrikba.t.1","X2.ifnrikba.t.1","X3.ifnrikba.t.1","X5.ifnrikba.t.1","X8.ifnrikba.t.1"
"Stx11",1.32395771272449,0.732126655634938,1.80837250294662,0.96252254980335,0.772214644564494,1.24644430998351,0.0694934588903917,0.0813070273262027,0.0954504688185897,0.945365195213905,0.96252254980335,0.393996892473371,0.168741477068389,0.0694934588903917,0.0803389007221795,0.207316910265571,1,0.512179208527876,0.109283390700334,0.0734756284643212,0.076625753184951,0.103249560353062,0.105565699538566,0.4099661234418,0.772214644564494,0.341466108270114,0.0888375875164345,0.076625753184951,0.104550170070884,0.148194704308407,0.92553178259157,1,0.273705997997988,0.0637374137906879
"Bcl3",1.96159746339394,1.34938944848398,1.45369260564307,1.80552274002554,1.51447879453468,1.19217432858166,0.058565389269216,0.055117567987864,0.0583579427977663,0.730415312824269,1,0.528303357362423,0.348948038032556,0.058565389269216,0.0659717624749438,0.145427212816381,0.553856220047305,0.260843340854796,0.197714329395913,0.13468496027462,0.0631211060837245,0.0829112132200664,0.0640003062189494,0.551006813390501,1,0.500045051089837,0.104537343755165,0.0631211060837245,0.0719656380074005,0.12376197921411,0.626375357311964,0.660293167265672,0.167089990498988,0.0404980911551277
"Cgn",1.87624451583796,0.879383323292827,2.13359119526217,3.75900455739106,0.708379411669863,5.30648476715318,0.214449756770586,0.235465048817667,0.152826645361399,0.233620493807833,1,0.523946034504445,0.394641745773518,0.214449756770586,0.135154947972631,0.227778590519373,0.266027876458349,0.225812008687644,0.172433623605059,0.226675122758196,0.229574830513194,0.18609564556798,0.214307706732548,0.475917958672805,0.708379411669863,0.486326558505475,0.256118167454654,0.229574830513194,0.257307348424629,0.146993932355974,0.524454914800742,1,0.581171396666439,0.16789894748897
"Pdgfb",2.51960411930605,0.972969890050561,2.58960132792508,3.93102747758811,0.85531433495801,4.59600326677688,0.052393440913472,0.0545872354339629,0.0632998369293892,0.468430899751424,1,0.555410530785753,0.120556648628776,0.052393440913472,0.0533584107799683,0.0609500291975802,0.254386418233218,0.247649601860875,0.176157188479784,0.0737724800580016,0.0238114671822792,0.0270412368816718,0.0279237870755065,0.301343492899026,0.85531433495801,0.645379429832093,0.0616771887515362,0.0238114671822792,0.0257209490792153,0.0321655535631122,0.583392925067822,1,0.304553627152384,0.0268108230215997
"Gm8773",1.22457469777071,0.707308064105556,1.73131731407484,0.968392875664026,0.599779306094328,1.61458200678855,0.205388713473765,0.19609286471769,0.208615498654705,0.84713119888827,0.968392875664026,0.815274567967024,0.502497368020782,0.205388713473765,0.283705784976563,0.288038414324633,1,0.691926701082672,0.355545723390384,0.232287063191885,0.22231887336928,0.386512130584787,0.289879418618332,0.578150854307149,0.599779306094328,0.575479216026651,0.322651700499758,0.22231887336928,0.284046097489829,0.441433306334956,0.956537357511629,1,0.825414978360363,0.476014385898159
"Csf1",1.66127953159507,1.01207724061074,1.64145528121211,1.26132501040969,1.00161552781483,1.25929059143227,0.0945849790911289,0.0954420817322055,0.099688621949562,1,0.845257719866728,0.751143025365576,0.328227597578067,0.0945849790911289,0.111711409004263,0.208481566468311,0.792817070736744,0.355984794049031,0.230500759891214,0.140779848791562,0.148503902263064,0.14180866461739,0.169463204916464,0.48839095260437,1,0.904248249190339,0.354939145899157,0.148503902263064,0.155609370570115,0.203952994294262,0.834248057925378,0.998387077905676,0.57197078394233,0.25640818640675
"Plekhh1",1.3701542164394,0.895194425208283,1.5305660735327,1.23065682624159,0.865196988689139,1.42240072761482,0.203514746465981,0.171243487262036,0.134823525367257,1,0.912728771340216,0.797754274087144,0.341312492773583,0.203514746465981,0.180973746903648,0.237321844105593,0.812574211329076,0.481163469302558,0.407155975532443,0.276548889405578,0.233467200199413,0.206446102259115,0.223103745758109,0.356834751165588,0.865196988689139,0.825844586880988,0.375598152989394,0.233467200199413,0.177457843232926,0.201402117646435,0.689615541848099,1,0.738005012079139,0.40789717882654
"Rrad",1.44817460504643,0.879877494045302,1.64588208568484,1.31150166750155,0.778485670858766,1.68468311825804,0.29541695748463,0.321946866308991,0.300787019106188,0.819917484380326,0.985277827170973,1,0.592863186196271,0.29541695748463,0.282845397745171,0.477097613994357,0.762484733934827,0.435439392469844,0.413244621840845,0.313919445070084,0.219014815503758,0.233133005138754,0.258789701818973,0.473675353802399,0.778485670858766,0.701557608075156,0.268406582852871,0.219014815503758,0.217787218713198,0.329620931609364,0.750181259960432,1,0.665396105509716,0.151489566900274
"Sik1",1.40314255593972,0.89132465826586,1.5742216294898,1.59886468235632,0.853491288399082,1.87332279085749,0.219177096087295,0.275929723404734,0.291122648789899,1,0.907588645350843,0.682969889663146,0.479587053304652,0.219177096087295,0.339539365193225,0.547491700484268,0.625443798362132,0.371006699115805,0.363816651505233,0.281909049968588,0.179970557920988,0.220125393169067,0.205427111606288,0.487535282737734,0.853491288399082,0.559006555992942,0.202794791751754,0.179970557920988,0.237438830622831,0.257454987418048,0.803293368557428,1,0.395680800139019,0.164729901150373
"Ccl1",3.3299354766337,0.795885325344462,4.18393877936183,3.82919767272995,1.20778739699443,3.17042360456724,0.0345382322041661,0.0403284807873055,0.0345382322041661,0.686028551263673,0.789208439217444,1,0.117554839559395,0.0345382322041661,0.0345382322041661,0.0509661130099079,0.2404558631122,0.261151313007842,0.135747213236464,0.05408925996976,0.0302053789276325,0.0302053789276325,0.0302053789276325,0.225767640432032,0.523337931540687,1,0.225393362119942,0.0302053789276325,0.0302053789276325,0.0302053789276325,0.615210783563545,0.798793313804158,0.82796028712379,0.262158953262055
"Zbtb46",1.13857789672833,0.710274095710496,1.60301199720567,1.30566407202132,0.584181304840707,2.23503227714099,0.322489019052027,0.169643822057045,0.150710924145172,0.618844808711915,1,0.456052917862859,0.354802382629721,0.322489019052027,0.227963498463773,0.196608453870879,0.765893786486661,0.61993489491051,0.256556263548441,0.309134376933188,0.27707889886726,0.171344462949136,0.195595975023938,0.366243864410991,0.584181304840707,0.507274710202221,0.29485480253993,0.27707889886726,0.211822653136051,0.20550607758772,0.680630286775993,1,0.630316357779504,0.368799497344827
"Ccl2",2.77726902671422,1.16352785897976,2.38693814271835,2.30647907351213,1.23708774151508,1.86444259053716,0.00879703076982801,0.0188421853560398,0.0582229683945876,0.806972622762841,0.963379525165928,1,0.461895287442306,0.00879703076982801,0.103484575060764,0.318488799477189,0.433561271586685,0.19761732393388,0.108425187497698,0.0243640916083204,0.0499683595058588,0.0687168214869002,0.0908871000917559,0.502266730051571,0.853483199730815,1,0.180894310002067,0.0499683595058588,0.101502472992757,0.237187686442369,0.729443016277385,0.808350100353664,0.384034740272549,0.0497635310867212
"Wnt11",1.4011835685492,0.805790536284584,1.73889305651306,1.7292589283886,0.852618109889595,2.02817522678766,0.268902151255025,0.2848052754565,0.257370167466455,0.499192763904334,1,0.929160884804237,0.252425766900065,0.268902151255025,0.232264621206984,0.276850636668922,0.436304658486745,0.578282398074328,0.452842642463966,0.246629653350816,0.215955724655036,0.150384872574285,0.139475493002034,0.43437255672015,0.667149222076763,0.852618109889595,0.327282206925128,0.215955724655036,0.117136671182847,0.191980054493529,0.701829842691756,1,0.818734406852012,0.413374122831493
