"",X0.ifnr.l.1,X0.5.ifnr.l.1,X1.ifnr.l.1,X2.ifnr.l.1,X3.ifnr.l.1,X5.ifnr.l.1,X8.ifnr.l.1,X0.ifnr.t.1,X0.5.ifnr.t.1,X1.ifnr.t.1,X2.ifnr.t.1,X3.ifnr.t.1,X5.ifnr.t.1,X8.ifnr.t.1,X0.ifnr.1,X0.5.ifnr.1,X1.ifnr.1,X2.ifnr.1,X3.ifnr.1,X5.ifnr.1,X8.ifnr.1,X0.ifnr.l.2,X0.5.ifnr.l.2,X1.ifnr.l.2,X2.ifnr.l.2,X3.ifnr.l.2,X5.ifnr.l.2,X8.ifnr.l.2,X0.ifnr.t.2,X0.5.ifnr.t.2,X1.ifnr.t.2,X2.ifnr.t.2,X3.ifnr.t.2,X5.ifnr.t.2,X8.ifnr.t.2,X0.ifnr.2,X0.5.ifnr.2,X1.ifnr.2,X2.ifnr.2,X3.ifnr.2,X5.ifnr.2,X8.ifnr.2
Egr4,0.0118176372999615,0.0471126100486874,0.122646725339806,0.172557419940541,0.025091273072313,0.0196484912798256,0.0082738904869532,0.0118176372999615,0.179395766361437,1,0.182823015330472,0.0160291547004823,0.0117375139719873,0.0082738904869532,0.0118176372999615,0.100022665140601,0.638244506140689,0.159874768759415,0.0252941147063814,0.019568236723016,0.0082738904869532,0.0140721256233454,0.0903204563099316,0.198521531883346,0.315008909673888,0.066988267813924,0.0165366921628338,0.0082738904869532,0.0140721256233454,0.297398821509241,0.658912134828166,0.904603348589984,0.1289297298169,0.0164988301398644,0.0194294632923418,0.0140721256233454,0.0572499746900151,0.264595088249749,0.407521661477017,0.0757312996507977,0.0253357893959709,0.0164489720044499
Ier3,0.025046811253125,0.158942927080815,0.257869137418502,0.476419499098694,0.301336084828187,0.182634811234336,0.079344234684864,0.025046811253125,0.529774902460047,0.751022309030745,0.212523102866855,0.0905576949004686,0.0700008371179114,0.0452345199647772,0.025046811253125,0.417612630333365,0.747081419328211,0.237398483879163,0.0954873649900382,0.0639454485721107,0.0432445031300861,0.084499042449181,0.21696117570273,0.537133445742045,0.717568464667557,0.72337392843898,0.362747834072432,0.233025362456182,0.084499042449181,0.555051014432305,1,0.440110475892382,0.349059926653954,0.159325437475771,0.112234191530302,0.084499042449181,0.255938944992909,0.656437444294443,0.383996994013081,0.28606398630088,0.149600763803125,0.12355621773925
Junb,0.0417383170017961,0.270325602847368,0.487444986585491,0.626536708080776,0.364932604629929,0.22753682575957,0.14091645588243,0.0417383170017961,0.5719300408059,0.94567404054454,0.336112925668026,0.0982783178538043,0.0845492344747235,0.0540451680321771,0.0417383170017961,0.439550443008711,0.793665798432924,0.292785244729692,0.102287388806514,0.0743925809845835,0.0456123183360952,0.104131512662459,0.323560268474552,0.653115508803932,1,0.507811101279399,0.251967682429645,0.183563589196625,0.104131512662459,0.508961066394402,0.917227885552298,0.893050702036312,0.326477626016091,0.151298604410044,0.116498816429057,0.104131512662459,0.280715290348406,0.690177167367831,0.820315850181155,0.275756868406258,0.127880125429907,0.110335831755283
Dusp8,0.143474444706111,0.21324006101352,0.38084109651224,0.691452911093744,0.397481538732535,0.313589349911951,0.208291339815164,0.143474444706111,0.347437206908054,1,0.264247734853294,0.16414477845255,0.265443121932542,0.247106450665348,0.143474444706111,0.279420398080184,0.867197457211559,0.221274819215987,0.140560517114356,0.220235844203938,0.20426234861286,0.156954892845799,0.244952742678053,0.403699695367578,0.262553958297392,0.12542108898104,0.138156090005203,0.0990702818711718,0.156954892845799,0.293080694046198,0.563869956537865,0.231062265538267,0.103660367541907,0.159667059504346,0.121808590582691,0.156954892845799,0.15691381608314,0.370391219229095,0.176263731586032,0.0989144718811158,0.140896898316279,0.141436430485818
Cxcl1,0.00515940782134827,0.0246134100556514,0.106129887742068,0.608071070664689,0.411638976606423,0.228099275180088,0.0669751486307784,0.00515940782134827,0.347878244613084,0.925781722223762,0.0656994739896372,0.0441899063512246,0.0199890402828491,0.0128861840946314,0.00515940782134827,0.270347741072555,1,0.167843073592784,0.0411540820336082,0.0287639191991159,0.0151254332681343,0.00943297545957002,0.0291850741725413,0.276311743568875,0.761864799466749,0.366446721848725,0.11237564139438,0.0963775879947192,0.00943297545957002,0.343540176599305,0.782186624385055,0.0781429846623097,0.042926011487884,0.0161451191381285,0.00929730382286151,0.00943297545957002,0.136742130658319,0.463453476167229,0.270972849649937,0.0271368573255591,0.0129557127807595,0.0113044488710858
Pcdh10,0.123762888203886,0.102423142389027,0.106238301185222,0.192251562701878,0.115481438320266,0.0735586447149986,0.0576354276020887,0.123762888203886,0.142691793827456,0.164086428339875,0.376671191845562,0.296595276691957,0.171611244135229,0.090029426634786,0.123762888203886,0.141438583820063,0.149890285026134,0.347630656672512,0.261170493804334,0.139343585281368,0.109453917040942,0.118078981244877,0.103370868016832,0.15208061240505,0.507809258607994,0.52668796872431,0.344156909721483,0.138268781338719,0.118078981244877,0.107908347486177,0.29360678990671,0.825420056258908,1,0.614537295144834,0.345245511969149,0.118078981244877,0.150761436346347,0.175649090661637,0.479976437009014,0.295435870214594,0.399167536047231,0.184332871811211
Slc25a25,0.148006551383367,0.21723615234772,0.346196810873129,0.612210151825411,0.423216605506984,0.366275331607392,0.236645455619653,0.148006551383367,0.349434152163339,0.904654790427988,0.269837407394903,0.22042020730465,0.230747773469463,0.187449620474024,0.148006551383367,0.275967128593665,0.798996471135682,0.23758665966586,0.200336194717826,0.192098411093854,0.169697589538263,0.167127412445448,0.266913107963809,0.488432736790047,0.45048309188876,0.374905358673536,0.414119878370143,0.263909184604896,0.167127412445448,0.363867516296986,1,0.447543143092131,0.264174367159418,0.223000220551323,0.201809593566066,0.167127412445448,0.190466937334275,0.648133457127701,0.327725883958016,0.208046133808178,0.198979432962521,0.209296992777299
4930523C07Rik,0.171356550800281,0.203600496376682,0.195849659767353,0.705437881928193,0.639084457559613,0.42060464894637,0.289441463707758,0.171356550800281,0.213949298429037,0.210316782170685,1,0.729293857147009,0.358517163675417,0.254823209088063,0.171356550800281,0.19112970040905,0.198555761979511,0.922157590478903,0.681300496072889,0.242911109947237,0.260659012294636,0.223486836782247,0.238869334482019,0.303356518517885,0.470095594040656,0.504475842717925,0.371576511659889,0.224132664684304,0.223486836782247,0.192015126371043,0.317405216504448,0.616991381084657,0.464533187352696,0.324557271129522,0.244300767041347,0.223486836782247,0.165837054668369,0.240063430593662,0.503142873074523,0.390197573044392,0.351303975619741,0.189799469214848
Hivep1,0.190097832327491,0.185709630092604,0.190523928163572,0.548337904247005,0.636835549427386,0.401227571887639,0.229564040362005,0.190097832327491,0.180828715396109,0.187579360475936,1,0.422053450403043,0.210707131876159,0.116365551336489,0.190097832327491,0.154042720329617,0.190220387712365,0.988211482901852,0.348393787434063,0.147086499356474,0.118441226274496,0.218981926384729,0.206685790090024,0.20151734870078,0.630969554601723,0.528185970289099,0.418762970612253,0.299218450182123,0.218981926384729,0.20125815719374,0.233146775684174,0.781635422910829,0.40615956031255,0.278029617459326,0.202247645424048,0.218981926384729,0.251619111336434,0.204364085988046,0.518748164667802,0.349626090944686,0.225024461392004,0.180886204826179
Fos,0.0267896710951077,0.353897827289203,0.982587935841599,0.14206931753159,0.0610081457326274,0.0860236705191712,0.110426955623861,0.0267896710951077,0.700582230732342,1,0.145304564075023,0.0736467690134168,0.080422780104411,0.0352681481779148,0.0267896710951077,0.440086261275177,0.958772166335877,0.182025351417982,0.0380564834599637,0.0427292378696796,0.0282260118885159,0.0155103592146278,0.253826020380354,0.68751928451858,0.123512275616372,0.0523496337681989,0.0483526357129969,0.0373947018834279,0.0155103592146278,0.355482939323535,0.612199345117543,0.139814543113163,0.06591005288807,0.034656505400992,0.0255752254081391,0.0155103592146278,0.208054006876376,0.729610437446125,0.132760804141567,0.0536029428629496,0.0363736364929289,0.0340237993675078
