"","b1.TL.ctrl","b1.IL.ctrl","b1.TI.ctrl","b1.TL.ko","b1.IL.ko","b1.TI.ko","b2.TL.ctrl","b2.IL.ctrl","b2.TI.ctrl","b2.TL.ko","b2.IL.ko","b2.TI.ko"
"Tnfsf9",0.497527306114025,0.223291448507103,2.22815208303062,0.585077175078732,0.508580746948127,1.15041156903725,0.44274034185507,0.260488093637472,1.69965673160956,0.270644364850584,0.17673126341877,1.53138929476945
"Btg2",1.28631664870003,1.12349456232044,1.14492467684339,1.05818135143246,1.0342423371175,1.02314642657318,1.04330278106891,0.862413441398504,1.20974782046193,1.18206128295483,1.03511377743914,1.1419626602587
"Arc",0.952628544214315,0.753755626013669,1.26384269826603,1.00926241273565,1.08077404933589,0.933832944412218,1.47574624912753,1.10186945967536,1.33931132782492,1.1659953947325,0.933492689139587,1.24906751632647
"Gdf15",0.812318276130507,0.761975063030081,1.06606937095845,0.706595525855273,0.878343331845631,0.804463926845702,1.23439523497136,0.957953614251297,1.28857516335603,0.655730321005685,0.520516770006505,1.25976790526363
"Jun",1.32131863117061,1.15502305719045,1.14397597774772,1.21401982275049,1.08828786523412,1.11553189329123,1.17078959697653,1.04433099169523,1.12109054149205,1.15978115919935,1.02879551713381,1.12731941370668
"Ier3",1.16372012369034,1.10004306533977,1.05788596861061,0.902559141736401,1.06808772087564,0.845023422791964,0.939126838311258,0.674742513770173,1.39182994867749,0.723950770402969,0.867237275225782,0.834778198635997
"Junb",0.987448800114052,0.828936732027685,1.19122336115885,1.04997370363969,0.99987971035948,1.05010001979358,0.997849494875917,0.796690942829672,1.25249258053791,0.808933026748123,0.709660903805927,1.1398867013947
"Dusp8",1.03554932543111,0.884198475223067,1.17117293735421,1.01732278964589,1.04305636257776,0.975328684187041,1.13928841051915,0.867880812433634,1.31272450571233,1.1596738856699,1.01584143556764,1.14158946964187
"Cxcl1",0.979938336953741,1.05356529066674,0.93011638256761,0.523179674777724,1.17048973727817,0.446975020895369,0.775832583880729,0.564165574487357,1.3751859719298,0.632862995495547,1.08828035175649,0.581525701970178
"Nfkbiz",0.658276980287509,0.992069360602433,0.66353927097171,0.641590580807498,1.29943127768949,0.49374721989785,0.549631520103768,0.840873786051672,0.653643304406677,0.37103962298716,0.635144198086732,0.584181708822746
"Cxcl2",0.440165135542183,0.195197624172936,2.25497178773148,0.387790877733689,0.425637376840122,0.911082763954143,0.488198730525187,0.161582406241494,3.02136069069022,0.194252088206386,0.0988277615076386,1.96556195590216
"Pcdh10",1.77020258292132,1.64994890967443,1.0728832708345,1.58515129233176,1.36215271528828,1.16371040819478,1.74815047907029,0.953952233023792,1.8325346055631,1.2900513972903,1.09363078205315,1.17960413922183
"Ifrd1",1.1044074063647,0.996800469882048,1.10795233322411,1.22421791210822,1.11796680620635,1.09503958911125,1.13032030982308,0.919764926005764,1.22892304094666,1.03139857049718,0.853408501863603,1.20856373969195
"Zbtb10",0.966578244880647,0.9913260610498,0.975035644535618,1.14582829303589,1.08568356435019,1.0553980281738,0.971594380861325,0.959940854273642,1.01213983813253,1.00515302485237,0.9766508070882,1.02918363201803
"ENSMUSG00000089726",0.966824187671436,0.930665784044631,1.03885218974062,1.05026120494155,0.978249364708422,1.07361296907624,1.05270503776853,0.984033321955657,1.06978596586181,0.824848252138879,0.826022271978938,0.998578706797764
"Slc25a25",0.983302079908513,0.860796725490709,1.1423162412101,1.07594394421161,1.1311066542453,0.951231203683001,1.09960526058696,0.803736208543872,1.36811711217928,0.946353767289901,0.80591790656793,1.17425578905428
"Zswim4",0.752212751811969,0.638203526970962,1.1786408567532,1.09379314294095,1.11088986134482,0.984609888883879,0.88159675921834,0.775159993073297,1.13730941624457,0.812734047590566,0.684885700364644,1.18667107103835
"Stk17b",0.893370846075425,0.849895937336164,1.05115321397526,1.23777301393543,1.03942341593934,1.19082656302951,0.824791730098295,0.686056311015175,1.20222162066818,0.932165121757431,0.736001119514609,1.26652677155191
"Creb5",1.02410009541631,0.945457742651208,1.08317913029575,1.10603468121432,1.13890067157834,0.97114235579608,0.998217800474312,0.943314139089811,1.05820294545513,0.966604684668107,0.958400143563169,1.00856066347657
"Hivep1",0.968658638395522,0.896821187178495,1.08010231275092,1.25882214938528,1.15033197086921,1.09431206057334,0.926981073241262,0.778354395755171,1.19094987873987,0.856064212496758,0.698731194589637,1.22516959186218
"4930523C07Rik",1.11917599705375,1.01626246167086,1.10126668972274,1.20175621735429,0.881880825221291,1.36271952284793,1.02024684031526,0.883491922022626,1.1547890986706,0.923578564516037,0.835863672461339,1.10493923225112
