"","sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio","cluster","cluster"
"Rrad",1.44817460504643,0.879877494045302,1.64588208568484,1.31150166750155,0.778485670858766,1.68468311825804,4,4
"Dot1l",1.01380349357926,0.96023906423315,1.05578238934581,0.964979366125219,0.828531289286756,1.16468669150193,4,4
"Ccdc88c",1.11620369961948,0.955786323055698,1.16783811684072,1.31754920579366,0.75707787700812,1.74030868660494,4,4
"Errfi1",1.07658245800571,0.942722063620501,1.14199348837888,1.10554935207348,0.753842250700627,1.46655265215762,4,4
"Sik1",1.40314255593972,0.89132465826586,1.5742216294898,1.59886468235632,0.853491288399082,1.87332279085749,4,4
"Kcnk10",1.50704662885497,1.12636747071356,1.33797066058756,1.77694472791613,1.18360775828924,1.50129526903785,4,4
"Ccl1",3.3299354766337,0.795885325344462,4.18393877936183,3.82919767272995,1.20778739699443,3.17042360456724,4,4
"Zbtb46",1.13857789672833,0.710274095710496,1.60301199720567,1.30566407202132,0.584181304840707,2.23503227714099,4,4
"Ccl2",2.77726902671422,1.16352785897976,2.38693814271835,2.30647907351213,1.23708774151508,1.86444259053716,4,4
"Micall2",1.50240795678833,1.09833197081563,1.36789968489456,1.34981244833759,1.03279861398286,1.30694641730027,4,4
"Slco5a1",0.870995786785726,0.762921838547437,1.14165795600249,0.827435988929578,0.989060534920954,0.836587812085442,4,4
"Wnt11",1.4011835685492,0.805790536284584,1.73889305651306,1.7292589283886,0.852618109889595,2.02817522678766,4,4
"Tjp2",1.27693301915564,0.876504818253379,1.45684654843108,1.39608009484422,0.799639251604402,1.74588740115385,4,4
"Ccl7",2.29387384418781,1.2366837389865,1.85485890359302,2.34907798645409,1.35419969444179,1.73466143589878,4,4
"Birc3",1.73170522940562,0.899115760568692,1.92600920298662,1.37693493494287,0.966585309592726,1.42453534238281,4,4
"Angptl4",1.50251967589299,1.14827802855,1.30849814986908,2.04745492441683,1.14897750524748,1.78197999096233,4,4
"Bahcc1",1.10821519885599,1.01195984274856,1.09511776262385,1.39478738382872,1.0447764467285,1.33501036340952,4,4
"Bdkrb2",2.19361371488911,1.01811596249311,2.1545813990751,3.19093576063111,1.15730479617702,2.75721294093991,4,4
"Icam1",2.54878242856922,1.07256875822576,2.37633476550763,2.58643693538866,1.07924584398076,2.39652248819294,4,4
"Nfkb1",1.42110321086065,1.11733923944216,1.2718636925077,1.42472220699782,1.08553706311471,1.31245837236538,4,4
"Nfkb2",1.6824096521643,0.985954670328418,1.70637626941196,1.65185629424758,1.04659143665484,1.5783200935862,4,4
"Nfkbie",2.02671531010251,0.892321115371206,2.27128471487465,1.63354066278871,0.866650737159272,1.88488925555313,4,4
"Rab11fip1",2.51061159172908,1.22330324475799,2.05232153391842,3.44149542131521,1.49183794043878,2.30688289124957,4,4
"Relb",1.51993225289032,0.976915759645197,1.55584781787361,1.03992524975594,0.866512846360291,1.20012675417803,4,4
"Rhof",1.576377764937,1.011868042941,1.55788867524194,2.22716953595543,1.10078420932194,2.02325716257078,4,4
"Ripk2",2.27087146538308,1.18675675872669,1.91351045501488,1.66803430799927,1.31127499449206,1.27207055347334,4,4
"Trim47",1.45821282550361,1.00425677181704,1.45203185721637,1.49769992487191,0.957408995444073,1.56432614692244,4,4
"Vcam1",1.39170924949391,0.889684438191283,1.56427289244627,1.16023314950987,0.866726013888224,1.33863889039737,4,4
"Glrx",1.55450819344269,1.14082978892907,1.36261185369462,2.55922147208234,1.44830045019501,1.767051492484,5,5
"Slco2a1",1.48719213080349,0.993754014611142,1.49653949462074,1.88204636424029,1.1787176832085,1.5966896832474,5,5
"Ngef",0.859932941137974,1.0617252930203,0.809939206300446,0.846608033510862,2.07199865434058,0.408594876129539,5,5
"Rffl",1.43890883555461,1.31933349284855,1.09063314420062,1.92465606690757,1.70145878004304,1.13117995539032,5,5
"Gbp2",2.27685309184972,0.868347549445444,2.62205276367025,2.93185398906186,1.08240444920898,2.70864924031349,5,5
"Il34",1.69134015204914,1.11337892229167,1.51910559665335,2.56520102100489,0.969945822148088,2.64468484984437,5,5
