"","LPS0","LPS30","LPS1","LPS3","TNF0","TNF30","TNF1","TNF3"
"Hivep1",2.1276414638258,2.08568816571677,2.13888370083582,1.90568400859534,2.1276414638258,1.9184182234623,2.19329192472102,1.80504187759096
"Hivep3",1.99444393729747,1.91819428137398,1.94855572342237,1.76884617010128,1.99444393729747,1.77638393372213,2.37880718995687,1.96159367394747
"Icam1",2.18236529493154,2.35828007446461,NA,NA,2.18236529493154,2.07270319265964,2.40463811203563,2.96976520592426
"Ier2",1.37554847830085,1.28355022130954,1.21894117067901,1.19906911277294,1.37554847830085,1.13282461525923,1.20762404635983,1.27211737040176
"Ier3",1.42436002496294,1.65122101008839,1.77273457823717,1.38877439962413,1.42436002496294,1.04215194840391,1.22949077902617,1.15546519322611
"Ifi203,Gm16340,LOC102641031",NA,1.62755994535748,NA,1.82982748695929,NA,NA,NA,2.38273996804303
"Ifih1",2.08164323871303,NA,NA,2.13593785417902,2.08164323871303,1.97904530929903,1.98671546950266,2.15722616589696
"Ifnb1",NA,NA,2.56996775385605,2.15658439704963,NA,NA,NA,NA
"Ifrd1",1.93024844652462,1.92847804035017,1.82125830726727,1.86739536558734,1.93024844652462,1.8265482807324,1.9847579434673,1.97381812133225
"Ikbke",2.21790239577532,2.1923011072457,2.53146785967452,2.86162239058561,2.21790239577532,2.05064662099343,NA,2.38533427485694
"Il1a",NA,NA,2.34205009510685,2.22523267880739,NA,NA,2.00465741281215,NA
"Il1r1",2.03314344195084,1.96202003309729,2.00989385110601,2.09246916820984,2.03314344195084,1.77590245450012,2.20597694171254,2.02341330467154
"Il1rap",2.30847059533714,2.26954643639957,2.12133629456875,2.36112523122292,2.30847059533714,2.08982975435681,2.58857969674508,2.29932377862095
"Il1rl1",2.54491951205197,2.04009647308269,2.22167143004768,2.48915550574922,2.54491951205197,2.01320226975537,3.15836249209525,NA
"Il34",2.1563622837867,2.2061530453021,1.99615686600717,1.9911449884151,2.1563622837867,2.13663441338065,NA,2.31638541258768
"Irf1",1.60761284962287,1.60497432342849,1.46466853863636,1.49114679860297,1.60761284962287,1.47354841934857,1.42854717379975,1.5207725134824
"Irg1",NA,2.15176866715197,1.96220234800077,2.05090857693212,NA,2.19847631251566,1.99755504037559,1.89729159046886
"Itgal",NA,NA,NA,2.92330540155833,NA,NA,NA,NA
"Itpkc",1.60500553627425,1.58867443487179,1.64412954708766,1.58857695377573,1.60500553627425,1.4709734796744,1.62579677725953,1.53712402638439
"Jak2",2.0986931537947,1.97183546105152,1.95263559834619,2.20307870009832,2.0986931537947,1.9429315405269,2.13925171740355,2.25976892717541
"Jun",1.48443193842539,1.54008434074405,1.42040181535249,1.40020001196814,1.48443193842539,1.39944896358263,1.38751072994927,1.39353829621481
"Junb",1.34812700425797,1.59417147470707,1.43055594641677,1.30177405687504,1.34812700425797,1.16327374516599,1.32785558280183,1.26583375914103
"Kcnk10",NA,NA,2.0379000975152,1.9887153186362,NA,NA,2.21072612874651,2.05222412012179
"Kcnn3",1.7371140472448,1.91642290174592,1.85667065641968,2.02093755737586,1.7371140472448,1.66062076389236,2.20927807936539,2.17840615386636
"Kcnq5",1.99781085179625,1.87995946381304,1.88226429997907,2.0031068589626,1.99781085179625,1.82177203086604,2.22243518900935,1.90574892456953
"Klf10",1.38523144174491,1.62417980070622,1.35885816928416,1.45390561194553,1.38523144174491,1.46901969958692,1.40505244252276,1.39041342866602
"Klf5",1.7502250383152,1.61793694742909,1.35488494006451,1.50080604446501,1.7502250383152,1.67166831710439,1.51085133456495,1.53809379053636
"Lcn2",NA,NA,1.78412050724966,NA,NA,NA,NA,2.11074856418663
"Micall2",1.77854922976565,1.66054560492257,1.85958503411502,1.73822983123093,1.77854922976565,1.79562686466796,1.85556526973756,1.7538105295063
"Mmp1b",2.7487108579673,NA,2.09630998930665,2.03533238568912,2.7487108579673,NA,NA,NA
"Mmp3",2.68837608002111,2.143328992574,2.30277247054904,NA,2.68837608002111,2.05775229473167,NA,2.87357175281465
"Mmp9",2.79354569364179,2.37390196937458,2.38472538580045,NA,2.79354569364179,2.15346494419863,2.50976009416331,NA
"Mnda",2.08967950272622,1.84575022556447,2.10315711113598,2.18278460002953,2.08967950272622,2.01079841225345,NA,NA
"Mt2",2.38895953440967,2.05747887165829,2.25004878722314,2.15281298779918,2.38895953440967,2.10882928180475,2.26709746015432,2.47772804481317
"Nfatc1",1.78067007987807,2.05813739991254,2.20178353199626,1.73681262263221,1.78067007987807,1.6329597733589,1.9619446068544,1.82347171424114
"Nfil3",1.37555816593346,1.56682353456871,1.40530767004944,1.47522675150524,1.37555816593346,1.49365932941426,1.4749497637482,1.3182067737631
"Nfkb1",2.05645753558158,1.97422469164753,2.03019859439457,1.98748903363986,2.05645753558158,1.90342996958593,2.09746948579599,1.99210018269277
"Nfkb2",2.17277668748156,2.14859590219934,2.29475320405597,2.48892838299618,2.17277668748156,2.11299279470563,2.26875089968817,2.19732569674539
"Nfkbia",1.15097805262479,1.40536762691903,1.17508462822385,1.26727432429396,1.15097805262479,1.32499848931552,1.09189471397602,1.08973815022678
"Nfkbie",1.99967708722136,2.14178333166778,2.09855146530799,1.90864985031781,1.99967708722136,2.13037369872069,2.08364937030763,2.23872464581248
"Nfkbiz",1.44003064543788,1.63669191455703,1.57131712145198,1.53909906173751,1.44003064543788,1.4721148783897,NA,NA
"Ngef",1.74566646304891,2.22398328558733,1.53688890065037,NA,1.74566646304891,2.41669079650343,NA,1.99940062892526
"Nos2",NA,3.15836249209525,1.90243748708647,2.31708262052958,NA,NA,NA,2.2236105959293
"Nptx1",2.55161879055062,2.23312395896138,2.23795876562325,NA,2.55161879055062,1.8092907107947,2.46579358586504,2.89298031115145
"Nr4a1",1.62727710190647,1.53006084371872,1.61404395080948,1.52908032288012,1.62727710190647,1.33931779148983,1.45512843676662,1.69837580687854
"Nr4a3",2.01161631109837,1.92663232601992,2.01309906303637,1.8918939750015,2.01161631109837,1.86579229880626,2.00018157086268,1.88332525958081
"Nxph3",1.95035805045418,2.20432653988228,1.71057468454774,2.11409786290655,1.95035805045418,1.77292951431522,2.19194069436913,NA
"Oasl1",1.47712125471966,2.23364557239432,2.03310568510008,1.81853394364677,1.47712125471966,3.15836249209525,1.79077394198467,1.70564192658481
"Osmr",2.29465304930351,2.10917224200627,2.116317543979,2.2191699548401,2.29465304930351,1.94974436846146,2.28635332172124,2.28032049841188
"Pcdh10",NA,2.16505244387609,2.41849065765786,2.22708176071804,NA,2.19261239331491,NA,2.47567321526988
