"","b1.LT.ctrl","b1.LI.ctrl","b1.TI.ctrl","b1.LT.ko","b1.LI.ko","b1.TI.ko","b2.LT.ctrl","b2.LI.ctrl","b2.TI.ctrl","b2.LT.ko","b2.LI.ko","b2.TI.ko"
"Klf10",0.373038522418374,0.519850209915594,0.14681168749722,-0.0899876376861198,-0.0583911088715191,0.0315965288146007,0.102021957799462,0.286271542906645,0.184249585107184,-0.1407312225755,0.180197464889631,0.32092868746513
"Irf1",0.679222085340455,1.09312231672585,0.413900231385393,-0.409389485797737,0.164055842369093,0.57344532816683,-0.276762087101038,1.01922200251836,1.2959840896194,0.0296897538826934,0.738741371293907,0.709051617411214
"Tnfaip3",0.597690839739973,1.18855497349352,0.590864133753551,-0.160561883674287,0.135024881689059,0.295586765363346,0.199858471996662,2.05609947055167,1.85624099855501,0.625669727322092,1.24997088474582,0.624301157423731
"Nr4a3",0.036363635509056,0.0978686041292297,0.0615049686201737,-0.0766285894545743,-0.233138007738174,-0.1565094182836,-0.0623406905254821,0.141184833988348,0.20352552451383,0.130107909185819,0.261140933526938,0.131033024341119
"Rel",0.73815916511882,0.760426924292103,0.0222677591732832,0.0729400591116675,-0.133705472557555,-0.206645531669222,0.438845168262591,0.602756913690979,0.163911745428388,0.606760770127175,0.8014045410773,0.194643770950125
"Klf5",0.396355018764241,0.130443209069897,-0.265911809694344,0.319172642359153,-0.130533732206216,-0.449706374565369,-0.112011843697297,-0.31362090456234,-0.201609060865043,0.28738338593639,-0.0866825139912151,-0.374065899927605
"Gadd45b",0.365783976498789,0.491793750504202,0.126009774005413,-0.0528897183535441,0.00651449175841197,0.0594042101119561,0.0136262596106371,0.659155857598396,0.645529597987758,0.476754874506411,0.564548278609699,0.087793404103288
"Pim1",0.813277512097337,1.0401388905713,0.226861378473966,0.0978265019665848,-0.0534201147353302,-0.151246616701915,0.23281585915903,0.701440661585753,0.468624802426723,0.890680689892067,1.06752762639008,0.176846936498009
"ENSMUSG00000097418",1.3421259502273,1.77737727570131,0.435251325474011,0.151393044048194,0.334487999582793,0.1830949555346,0.875720436031699,1.5284105719896,0.652690135957901,1.71162111848304,2.43078002104328,0.719158902560244
"Zc3h12c",0.727066817739097,0.700045949221729,-0.0270208685173675,-0.0123059963186376,0.0374989016355804,0.0498048979542181,0.677948456941121,0.753700040654559,0.0757515837134385,1.07772867569074,1.41811321503526,0.340384539344525
"Nfatc1",-0.0370626381092021,0.0211882390358417,0.0582508771450438,-0.339295410142635,-0.306354171743394,0.0329412383992403,-0.19326402714556,0.234135033221907,0.427399060367468,-0.0426366159406913,0.288943246839072,0.331579862779763
"Cxcl10",2.14999543871539,2.52101696718118,0.371021528465783,-0.383722146070861,0.47641775085006,0.860139896920921,0.562349344671219,2.16218138062609,1.59983203595488,0.765438167169248,1.66055708907872,0.895118921909471
"Zc3h12a",1.5467271401541,0.753858294229506,-0.792868845924594,1.01978239452868,-0.130387430907207,-1.15016982543588,1.34511888849588,0.998178018164056,-0.346940870331822,1.45696809498246,0.662608576936696,-0.794359518045762
"Rnd1",1.02399410417918,1.19633607060214,0.172341966422958,0.545098459357069,0.41610980120522,-0.128988658151849,1.20215975457768,2.09771397845151,0.895554223873828,0.827625704797593,0.766005963799216,-0.0616197409983775
"Stx11",0.404857043129308,0.648526339221299,0.243669296091991,-0.449834843030986,-0.130994179616964,0.318840663414023,0.275888055781673,1.10426639697371,0.828378341192034,0.427196948692615,0.8003871479837,0.373190199291085
"Bcl3",0.97202901854623,0.980903592838344,0.00887457429211419,0.432306785876936,0.106950514817462,-0.325356271059475,0.651331422096414,0.769700448873404,0.118369026776989,0.385546429704681,0.379155664245868,-0.00639076545881342
