"","LT.ctrl","LT.mt"
"Rab11fip1",1.05523667375277,1.34029417238037
"Relb",-0.207192042529969,-0.28749836184535
"Rhof",-0.209431235777421,0.217438305450039
"Ripk2",-0.182149966017158,0.258783487656966
"Trim47",-0.411397472066703,0.665948706246315
"Vcam1",-1.27194809381704,-0.338578047909961
"Glrx",0.426554360910295,0.385646773438103
"Slco2a1",0.5387532712625,-0.381009530887058
"Ngef",0.132536437387968,0.593706157644198
"Rffl",0.467487723987781,0.139770963136215
"Gbp2",1.05845144116929,0.0704359895377555
"Il34",0.238355630375463,-0.367925026929424
"Gjb2",-0.278975928857509,-0.350270323814709
"Slc7a2",1.04788376886227,0.307966124004236
"Sod2",-0.253134811105418,1.24070008556899
"Tnip1",0.205771507151898,0.247343316677831
"Mt2",-0.0670866828740393,0.396374100307276
"Ch25h",0.833884245731423,1.5889744919584
"Mnda",0.330742309273813,1.98501805840187
"Ikbke",1.28766778658842,0.891927512599791
"Adarb1",0.452343505881241,1.17314768965851
"Ifi203,Gm16340,LOC102641031",2.06491325511379,2.71542619459913
"Cx3cl1",1.03699775109066,0.288914085859595
"Gch1",0.102612151143355,0.206081448996434
"Serpina3g",0.625447204600954,0.801014728762774
"Atp2b4",0.181204540078645,0.54621431328026
"B4galt5",0.332065650710744,0.173249505632489
"Cebpb",0.262055866588586,0.433599687483927
"Gda",0.562114899168254,0.119657768353962
"Il1r1",-0.172474340395025,-0.298202896023544
"Jak2",0.589315154682571,0.474124628994838
"Nxph3",-0.768113950396604,-0.299942977747088
"Osmr",-0.0724454736275193,0.416261339359855
"Rab20",-0.409845949133384,-0.251808657612879
"Sdc4",-0.0112706238379257,-0.812529838334674
"St3gal1",0.0622012336736058,0.263390788526096
"Ifnb1",NA,2.09644107773355
"Csf3",-0.193322042601497,2.59308127028021
"Cxcl3",1.28647798723471,1.68752639834234
"Ccl3",3.39700997622199,2.70472616093766
"Il1a",2.9044580542898,3.68793492929121
"Nfkbia",0.59552726688562,-0.476417727657126
"Slfn2",0.914418009909562,0.713262376263856
"Nos2",5.23487389351892,2.54832103978915
"Irg1",4.02974461150505,2.82046322815109
"Hivep3",0.545156247458148,0.374792557600816
"Ifih1",2.08879921540972,1.20434242683904
"Oasl1",2.76303939979433,1.22323983702677
"Ptger2",1.25425151667802,0.277458284664814
"Rsad2",3.63744990258163,3.11056522106404
"Tnfaip2",0.348104424286095,0.747456155126375
"Tnfsf11",1.06344519194398,0.323007225028841
"Slc39a4",2.08870457248917,1.06045769813864
"Il1rap",0.348192961186325,0.576310248066596
"Cd274",-0.0848548587540499,-0.124484307309126
"Tmem158",1.27880587019517,0.32403625829601
"Slco3a1",0.340678439862913,0.160689506138867
"Egln3",-0.95070334004926,-0.268378584439051
"Adtrp",-0.678132730552907,-0.73095893104312
"Grem2",0.294529635980451,0.0430095690296493
"Gsap",-0.142566753545683,-0.238692959692609
"Timp1",0.525199954025681,0.498289372328318
"F2rl1",0.450075534071635,0.179916653475949
"Rab15",0.568354220098233,0.0636640931526219
"Il1rl1",0.301972562479346,0.0160557659403569
"Slc6a12",0.521941315267656,-0.0351426902096006
"Exoc3l4",0.393011356380513,0.862578983257683
"Flt1",0.365971098560739,0.223352979271023
"Nptx1",-0.220521952693396,-0.409151388268512
"Mmp9",0.951408154976255,1.83789284092319
"Acpp",2.02330309334106,0.0330425720531214
"Kcnq5",0.44978415950821,-0.223191298722297
"Pilra",0.868108590996613,1.13998003646545
"Prokr2",1.08856045583419,1.17068344621881
"Mmp1b",0.622592823474395,1.09935066372138
"Mmp3",0.89331570379586,1.71829413161404
"Rasl12",0.268174427652512,1.86307586906651
"Rbfox1",0.341259086475572,-0.171901993612249
"U90926",1.89605307010244,1.43504559774122
"Gm16685",1.45174129626533,0.818395014053569
"Tmem132e",-0.270320564890856,0.0358424196554489
"Fpr2",0.459313237875201,1.41055628569905
"Itgal",3.41084345555786,1.73307662635074
"Kcnn3",1.44819468795399,0.28225689154178
"Ptges",0.195125462562564,1.26505565826142
"Fpr1",3.39562518132387,1.03544969915761
"Ccl5",3.17344886720372,0.539094885803452
"Lcn2",1.66557422933579,2.15487069286374
"Steap4",0.582145031219989,2.16673623131095
