"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Ier3",0.0945809423533993,0.284335624293953,0.918621731638362,0.637140694972624,0.178423341784773,0.203289625714804,0.0945809423533993,1,0.523928298808009,0.251019117298901,0.14192695587754,0.130181504253166,0.186607185054831,0.345424185183441,0.868906156324718,1,0.595925541764161,0.436996839784989,0.186607185054831,0.788929603976781,0.558843263271585,0.520335758807544,0.300532529861863,0.157359415006729
"Junb",0.140903481029199,0.37705507496919,1,0.332821724953093,0.162660153633143,0.124811653594005,0.140903481029199,0.483823257298282,0.450186932927795,0.15812657209925,0.10782343188582,0.0595061371161644,0.496584241197959,0.75634635059306,1,0.864753220538838,0.83193295753015,0.390390774380243,0.496584241197959,0.912222912244727,0.8797905294387,0.712095385456596,0.538600151005886,0.293861329939457
"Dusp8",0.188643348838633,0.383927480387065,0.759003377699843,0.309667868140146,0.174034876377958,0.254409239198643,0.188643348838633,1,0.641186265459913,0.125967384032747,0.203736218395932,0.159375525801931,0.20419892946866,0.338558618821,0.521036688424369,0.164428738525441,0.340665730365539,0.197949229255841,0.20419892946866,1,0.439611743532995,0.0804132692110094,0.225317759463947,0.247252818911862
"Cxcl1",0.0458006874214871,0.140174895958985,0.720115901154207,0.670887135815019,0.18489810849479,0.105592184230505,0.0458006874214871,1,0.554799684112981,0.0828345392124726,0.0341494006842696,0.0367492110465618,0.0374844700484616,0.147896070214197,0.816380783406047,1,0.616227886619899,0.227691072960495,0.0374844700484616,0.845327111089783,0.775505813336617,0.390893104437483,0.100592736427011,0.0335713236206153
"Nfkbiz",0.177365835112224,0.743211245287603,0.692956119715748,0.585468600405865,0.286383288964717,0.250099468804766,0.177365835112224,1,0.478442299257924,0.335700783735217,0.173078490140055,0.219888021724305,0.146352211740117,0.704774228519039,0.770810027213189,0.625107646020259,0.393128861655205,0.373983512854856,0.146352211740117,1,0.506497861679678,0.473267690168972,0.211511635463752,0.305821299282412
"Cxcl2",0.0127202305533384,0.738136309462939,1,0.558298171333353,0.282799559352988,0.0319036490197962,0.0127202305533384,0.860913556506405,0.466347788465029,0.0544107577942023,0.017574459508155,0.00953185544433698,0.00914338587610553,1,0.619622198618628,0.656976868615713,0.512370472203187,0.201645624982313,0.00914338587610553,0.569688474875399,0.54316330864769,0.348510506563595,0.0314038530610006,0
"Pcdh10",0.12161763899196,0.119733622891558,0.487279157073587,0.170105319940272,0.155950405730958,0.0899446170969262,0.12161763899196,0.612084318513773,1,0.174703235776305,0.236173724530885,0.152030148809314,0.186776257251069,0.127629576852909,0.727337514988092,0.183684278839004,0.118201998576988,0.0561517749346782,0.186776257251069,0.431097475328263,1,0.181611952781626,0.172841480461443,0.0590632454134975
"Ifrd1",0.111214944746253,0.415115579997277,0.580545890105803,0.161134853697884,0.0969590307077988,0.0861422702433872,0.111214944746253,1,0.516653485353519,0.0935942155789306,0.0759090134766705,0.0792146146658597,0.105670325913963,0.42075761374988,0.598300128794274,0.139904458228028,0.14324420106788,0.133422185102264,0.105670325913963,1,0.362138583535711,0.148877655244617,0.100945688697247,0.0698924374614325
"Zbtb10",0.329074526330993,0.434285880307468,0.740500920480533,0.736565084447951,0.419746096402391,0.411186604686559,0.329074526330993,0.809138299842083,1,0.474503992798979,0.274324480339208,0.436800890953527,0.239626581711881,0.313039083820823,0.86180716875988,0.422302173779392,0.281161001216162,0.276878242908353,0.239626581711881,0.636070223527566,1,0.383813556859919,0.242258631861723,0.215001253164087
"Gm8773",0.365688437640423,0.308591525170852,0.373431919019274,1,0.361529491748827,0.34113803607237,0.365688437640423,0.216807881051166,0.339824475712352,0.674400108804255,0.29638228869053,0.275872513939764,0.475224758276392,0.399361088686713,0.51252289350617,1,0.473403552585524,0.569896734999236,0.475224758276392,0.304136933591977,0.780979600118586,0.978796933879353,0.652954554235068,0.210916146599365
