"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Ppp1r15a",0.215795649428841,0.50820388684229,1,0.134108191134921,0.131791076832557,0.334161826485755,0.215795649428841,0.507457656164184,0.384355865506237,0.137190571600022,0.221967102888517,0.0428822741216036,0.465863501032006,0.647714998883537,1,0.265571864105275,0.476334552514466,0.534769176280607,0.465863501032006,0.725656267941895,0.466793635295893,0.18351646051319,0.354415861487736,0.512061886458775
"Frat2",0.115295650148009,0.161215198768717,0.758114929750113,0.206504366617491,0.210664885274763,1,0.115295650148009,0.0346811979914398,0.65190312605941,0.223436368824702,0.336061718239382,0.0764506436279954,0.593614316925478,0.129723115073384,0.35098800849655,0.530280571182112,1,0.275978614423156,0.593614316925478,0.438903356535799,0.985442560939201,0.200229911886727,0.532530092794707,0.118738834742848
"Egr3",0.0523339311709367,0.206804032071656,0.798819031715652,0.201226313672189,0.0612120390654064,0.11831259601984,0.0523339311709367,1,0.532193708359353,0.134886282538574,0.0439274249354238,0.0101757083793928,0.071488668154485,0.124150857370101,0.731568523846836,0.187217022692123,0.0942344779268133,0.0646467547804445,0.071488668154485,1,0.365731195936737,0.11567876947803,0.0539039009210195,0.0934400738979115
"Dusp1",0.144398978548742,0.427313986598335,1,0.136133068329441,0.125031231660735,0.247788054648758,0.144398978548742,0.421362860025852,0.328050346402845,0.106543554839079,0.221689579996307,0.0419576287438735,0.215610606568067,0.630210146223701,1,0.217791838703625,0.57028972400371,0.510292345437429,0.215610606568067,0.599658457882745,0.473922733016706,0.189231843746027,0.508942262132274,0.396445854232131
"Ier2",0.145422422507135,0.440926952949013,1,0.142915758053185,0.079189011648685,0.268065454838353,0.145422422507135,0.522711628087557,0.439120117173904,0.0773124146529822,0.23177125615543,0.0398797814078726,0.475913580814715,0.674903123262804,1,0.289440958438743,0.571731160191745,0.476584262259771,0.475913580814715,0.787358662630185,0.515555259393198,0.212874487768655,0.61837145024491,0.356652153223582
"Tnfsf9",0.0247166112174943,1,0.74548638271995,0.0980720468033165,0.0359763124648164,0.0669193763836204,0.0247166112174943,0.584019434642866,0.0596787994665023,0.0295655668122011,0.0280719168950789,0.00651131013999692,0.0576991452532427,1,0.473531126907112,0.149670086781543,0.0772733786570624,0.0579842915978006,0.0576991452532427,0.282013515453549,0.0652308062527805,0.0663709528358179,0.0613568197678514,0.0840274259605244
"Btg2",0.171616317882817,0.341457443448805,1,0.200387467608106,0.156237607092334,0.194779611088373,0.171616317882817,0.67946860990575,0.423596526039274,0.126513236084559,0.261134405158146,0.0304191025343691,0.472327349003249,0.489818071257249,1,0.382172581234306,0.47918197167151,0.276778737776038,0.472327349003249,0.972418344910543,0.50680360256646,0.297604931732875,0.460782557959339,0.214884325010917
"Arc",0.394779886018554,0.366975374492785,1,0.440597618825817,0.087802404658538,0.416787090758005,0.394779886018554,0.558140769161407,0.66405718243421,0.627289890496537,0.210099278790194,0.0159318206721447,0.98748080822027,0.607060916154281,0.425169319436109,0.548272362903603,0.302217604265666,0.202507605182579,0.98748080822027,1,0.45102994741084,0.769139177130926,0.563131425600473,0.594943614619461
"Gdf15",0.720645883640169,0.840085820040624,0.693772215125621,0.170489671696567,0.748511391082558,0.505005968055978,0.720645883640169,0.823341575120934,0.273899492188528,0.171188961332263,1,0.102954750116956,0.232973983230391,0.559966225812674,0.384264521310994,0.126388458932004,0.88876214270429,0.161058156385297,0.232973983230391,0.229534882068741,0.252625353207145,0.0812146673794574,1,0.0346473545694725
"Jun",0.260638799356566,0.371008446813697,1,0.270980017172838,0.221323217131461,0.402299479667559,0.260638799356566,0.516972303100061,0.478422741121213,0.277995636091897,0.397304694370969,0.0451729545354453,0.727401659069453,0.578696580441045,0.939658682061946,0.448060187990118,0.784693264604018,0.699941397431757,0.727401659069453,0.885566785231121,0.549671227560755,0.39936013803034,1,0.630623180602747
