"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"115",1,0.163018954781867,"lps","wt","Rel","Sim.","1",FALSE
"116",2,0.695922845410466,"lps","wt","Rel","Sim.","1",FALSE
"117",3,1,"lps","wt","Rel","Sim.","1",FALSE
"118",5,0.586908734758677,"lps","wt","Rel","Sim.","1",FALSE
"119",8,0.225643600093,"lps","wt","Rel","Sim.","1",FALSE
"120",0,0.154842520396069,"tnf","wt","Rel","Sim.","1",FALSE
"121",0.5,0.154842520396069,"tnf","wt","Rel","Sim.","1",FALSE
"122",1,0.33763581128647,"tnf","wt","Rel","Sim.","1",FALSE
"123",2,0.392408278241393,"tnf","wt","Rel","Sim.","1",FALSE
"124",3,0.229351297045138,"tnf","wt","Rel","Sim.","1",FALSE
"125",5,0.162169980610345,"tnf","wt","Rel","Sim.","1",FALSE
"126",8,0.155068938892361,"tnf","wt","Rel","Sim.","1",FALSE
"127",0,0.237497765750154,"lps","mt","Rel","Sim.","1",FALSE
"128",0.5,0.237497765750154,"lps","mt","Rel","Sim.","1",FALSE
"129",1,0.238385915704086,"lps","mt","Rel","Sim.","1",FALSE
"130",2,1,"lps","mt","Rel","Sim.","1",FALSE
"131",3,0.746237059532665,"lps","mt","Rel","Sim.","1",FALSE
"132",5,0.48236859907754,"lps","mt","Rel","Sim.","1",FALSE
"133",8,0.267680402469962,"lps","mt","Rel","Sim.","1",FALSE
"134",0,0.237497765750154,"tnf","mt","Rel","Sim.","1",FALSE
"135",0.5,0.237497765750154,"tnf","mt","Rel","Sim.","1",FALSE
"136",1,0.399445345963093,"tnf","mt","Rel","Sim.","1",FALSE
"137",2,0.57441932677836,"tnf","mt","Rel","Sim.","1",FALSE
"138",3,0.384789351759845,"tnf","mt","Rel","Sim.","1",FALSE
"139",5,0.253312445574084,"tnf","mt","Rel","Sim.","1",FALSE
"140",8,0.237987299931694,"tnf","mt","Rel","Sim.","1",FALSE
"141",0,0.14592574615228,"lps","wt","Gadd45b","Sim.","1",FALSE
"142",0.5,0.146122323078091,"lps","wt","Gadd45b","Sim.","1",FALSE
"143",1,0.201661864165565,"lps","wt","Gadd45b","Sim.","1",FALSE
"144",2,0.842191389740876,"lps","wt","Gadd45b","Sim.","1",FALSE
"145",3,1,"lps","wt","Gadd45b","Sim.","1",FALSE
"146",5,0.606211307056755,"lps","wt","Gadd45b","Sim.","1",FALSE
"147",8,0.261857571633818,"lps","wt","Gadd45b","Sim.","1",FALSE
"148",0,0.14592574615228,"tnf","wt","Gadd45b","Sim.","1",FALSE
"149",0.5,0.148733820150742,"tnf","wt","Gadd45b","Sim.","1",FALSE
"150",1,0.523400816102009,"tnf","wt","Gadd45b","Sim.","1",FALSE
"151",2,0.362904047977402,"tnf","wt","Gadd45b","Sim.","1",FALSE
"152",3,0.204238203818824,"tnf","wt","Gadd45b","Sim.","1",FALSE
"153",5,0.150135090652479,"tnf","wt","Gadd45b","Sim.","1",FALSE
