"","X","rmsd","n","kb","kt","Kd","k_deg","tau","gene"
"62","Flt1",0.161308538225297,1,0.00136554028767463,14.5280977700839,1000,0.00324161390971685,47.2149438822033,"Flt1"
"63","Mmp9",0.0920255944851197,1,0.00100000001665931,981.171946295209,1.37238986056928,0.00218540061662396,78.7537863701416,"Mmp9"
"64","Pilra",0.159663049120034,6,0.0425115801851106,0.310155427116457,0.368276500146351,0.0067802654824334,120,"Pilra"
"66","Mmp1b",0.0792436854830626,6,0.0230575766816776,0.503728284149943,0.430185027887317,0.00229751252278239,82.2918874434409,"Mmp1b"
"67","Mmp3",0.0617438191181049,5,4.44145315561039,949.627882266572,0.528376206671067,0.000995298834066563,120,"Mmp3"
"69","Rbfox1",0.0951717291141423,1,0.0313796268931481,3.40814417170576,0.250257180690709,0.00642686530241965,120,"Rbfox1"
"70","U90926",0.101392993800964,1,0.0104358534381583,369.22836596468,999.90496701802,0.00287314586977629,119.999999998227,"U90926"
"71","ENSMUSG00000097804",0.100456627497167,6,0.0196892574377621,1.24089420013196,0.56701664102405,0.0119015631529896,93.3961202240271,"Gm16685"
"72","Tmem132e",0.0919009806626031,6,0.0050229183257033,0.175116683693907,0.721872526721279,0.00695618180069465,93.737837601897,"Tmem132e"
"73","Kcnn3",0.107741292898744,1,0.001,47.9766943134253,0.16691513770981,0.0112135647905803,120,"Kcnn3"
"74","Ptges",0.16325067310362,6,0.00124674665596545,999.996630772814,0.839253804931316,0.00358704749138739,89.2632831778984,"Ptges"
"76","Kcnk10",0.171115275171913,2,0.00160906060233412,1.47258211999232,6.32606734839387,0.0184682625685318,93.8400775303759,"Kcnk10"
"77","Ccl1",0.191353842253532,4,0.00101465271243384,481.103599446499,0.634275911671287,0.00895175015062625,54.5713852514033,"Ccl1"
"78","Wnt11",0.166483301717864,1,0.00452263268379778,5.59742992930974,239.266749447317,0.0179469248059303,83.0998164647547,"Wnt11"
"79","Sod2",0.0788497713618093,6,0.0339541081030601,0.420231189708424,0.694620911417552,0.00273337453778253,51.3864483301318,"Sod2"
"81","Ptger2",0.120092878131591,5,0.00108762150371811,18.6559488984223,3.28897101983473,0.00623913952164564,63.7968912379914,"Ptger2"
"82","Slc39a4",0.109559785688436,1,0.00177433476974853,0.0419213616053359,1.00635749035792,0.00163506685494413,75.5427590161651,"Slc39a4"
"83","Adtrp",0.143180411379528,6,0.001,79.6793057827714,0.0318848997222769,0.00418298911085252,59.2222180787946,"Adtrp"
"84","Acpp",0.068293167709781,1,0.00807132959722649,257.526344464502,554.656235848279,0.00260740472682734,120,"Acpp"
"85","Itgal",0.0730944098289372,3,0.00859989401018922,1.72173908169978,0.880426363830398,0.000483980137484918,68.3531247564757,"Itgal"
"86","Fpr1",0.12992441573255,4,0.001,388.060235858369,2.87577662952527,0.000483980137484918,83.6240877236753,"Fpr1"
"87","Ccl5",0.128746850417758,6,0.00298608235385168,349.315494983081,0.715896713496412,0.00285237183499616,95.6846222426501,"Ccl5"
"88","Lcn2",0.12690884008037,6,0.0112178044491653,121.281083787795,0.558281420007209,0.00151776455669724,75.6225503976763,"Lcn2"
"89","Cd274",0.129705465099842,2,0.0704683226452839,0.302113415605152,0.293781018326785,0.00583324719136367,46.5317278332284,"Cd274"
"90","Egln3",0.144294440073542,3,0.0336427969967974,0.215716180849144,0.823555908929591,0.00551802292594646,45.4768413328649,"Egln3"
"91","Exoc3l4",0.106594379687689,6,0.0139333583541261,0.106769549163752,0.657318059811923,0.00395417841888749,28.0406272932324,"Exoc3l4"
"92","Gsap",0.108508321479966,3,0.0375112412910464,0.212537128512537,0.281944563240913,0.00476417915743024,73.0530526242042,"Gsap"
"95","Rhof",0.204363067256051,2,0.00134263676763367,7.88075577189752,29.9820431393225,0.0107148056345075,26.6526235173203,"Rhof"
"96","Slc6a12",0.118808507861055,3,0.00665193852776623,1.26321799219872,2.45739020221428,0.00245219579288791,60.0313614273653,"Slc6a12"
"97","Slfn2",0.177934004999937,3,0.00135754306719566,16.4237519968592,8.99530019085642,0.0123450021207324,26.5540490339287,"Slfn2"
