"","b1.TL.ctrl","b1.TL.ko","cluster"
"Gjb2",0.925456615089222,1.10888883064057,5
"Slc7a2",0.571435680488538,0.876930433997282,5
"Sod2",0.425295785055989,0.807621802181709,5
"Tnip1",0.533482073970649,0.909726150328538,5
"Mt2",0.637200031737136,0.823442917627852,5
"Ch25h",0.424568318882232,0.676910492178241,5
"Mnda",0.681870969354271,0.750144787829341,5
"Ikbke",0.567193319122228,0.70031475609124,5
"Adarb1",0.856633174614447,0.873371172140818,5
"Ifi203,Gm16340,LOC102641031",0.490606469729927,0.882970231426116,5
"Cx3cl1",0.477285585423267,0.754808319749046,5
"Gch1",0.37442364973137,0.738274369945032,5
"ENSMUSG00000041481",0.559205166474309,0.835902348094616,5
"Atp2b4",0.846271585409447,0.838375526124113,5
"B4galt5",0.666550087056093,0.972509339936061,5
"Cebpb",0.601428528468955,0.761904434209943,5
"Gda",1.03315175794621,1.06992139183909,5
"Il1r1",0.801779398980298,1.03056532541933,5
"Jak2",0.719425641170322,0.926292046362644,5
"Nxph3",1.09180209563458,0.898240235341943,5
"Osmr",0.862111453140309,0.822003888169319,5
"Rab20",0.548334180685574,1.06567249232468,5
"Sdc4",0.742804727630231,0.875635137084407,5
"St3gal1",0.699727831130993,0.984137776989777,5
"Ifnb1",0.109381647816227,0.310634996073051,6
"Csf3",0.279503016757225,0.142687471158056,6
"Cxcl3",0.160392025934903,0.286038743620643,6
"Ccl3",0.144241816250254,0.187130146695932,6
"Il1a",0.042315069782036,0.0582259011681298,6
"Nfkbia",0.634994202176163,0.75346110040468,6
"Slfn2",0.393226284571054,0.862124593808908,6
"Nos2",0.0684405305598156,0.116756865719518,6
"Irg1",0.00647148580040233,0.0653205110436185,6
"Hivep3",0.669709184351818,0.858140962250369,6
"Ifih1",0.236976313442389,0.670260273392356,6
"Oasl1",0.176427999550948,0.667172481220856,6
"Ptger2",0.440236139149006,0.609335587406331,6
"Rsad2",0.107621642396674,0.373793461571982,6
"Tnfaip2",0.268490531981535,0.743943369826682,6
"Tnfsf11",0.500876658595887,0.835445483688614,6
"Slc39a4",0.754838923531992,1.06621791857604,7
"Il1rap",0.780426610688139,0.847296026333459,7
"Cd274",0.629630258205171,0.862924735760853,7
"Tmem158",0.639867318790986,0.902253686001801,7
"Slco3a1",0.625634415728336,0.898497635486796,7
"Egln3",0.700544095034518,0.980898927445392,7
"Adtrp",0.677666301050274,1.47101498023764,7
"Grem2",1.00869949798461,1.02343936987867,7
"Gsap",0.599818132604161,0.882802635605527,7
"Timp1",0.597127247751307,0.83380841645174,7
"F2rl1",0.81758662991535,1.04308736062357,7
"Rab15",0.859683992565497,0.981592904058731,7
"Il1rl1",0.701511731978301,1.06840065619515,7
"Slc6a12",0.551725782520002,0.729511312541648,7
"Exoc3l4",0.507820699519469,0.913514385008057,7
"Flt1",0.684836572675488,0.953736007098384,7
"Nptx1",1.02422283047712,1.42167808335369,7
"Mmp9",0.450342452185501,0.834316585383148,8
"Acpp",0.391630604436143,0.793325577041981,8
"Kcnq5",1.02951305603341,0.876243711590442,8
"Pilra",0.320994434060865,0.651383867105504,8
"Prokr2",0.5810278875138,0.607482617049899,8
"Mmp1b",0.531403678217451,0.750844405552513,8
"Mmp3",0.204040323449034,0.616316929541135,8
"Rasl12",0.689115641221913,0.810108653633995,8
"Rbfox1",0.629162478311197,0.973294224097715,8
"U90926",0.460881828367962,0.714001475128933,8
"ENSMUSG00000097804",0.347516649961732,0.715740516507205,8
"Tmem132e",0.380718372541189,0.853027602127775,8
"Fpr2",0.123755707516319,0.225243866248312,8
"Itgal",0.277822181939295,0.593773404408809,8
"Kcnn3",0.494335063838722,0.72305003329623,8
"Ptges",0.354039567202512,0.602586129260745,8
"Fpr1",0.0705409833765552,0.278893254033073,8
"Ccl5",0.0625020194114016,0.851112883943868,8
"Lcn2",0.0818939166601612,0.306744911310242,8
"Steap4",0.213330272615067,0.133439335470253,8
