gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Cd274,ENSMUSG00000016496,0,-1.32699663300756,-1.21268414819488,-3.71830663195543,-3.28400431581246,0,-0.743064491739712,-0.78968113652783,-1.01967509561935,-1.91086408819422,-2.4235081619119
Ripk2,ENSMUSG00000041135,0,-0.993849635712039,-1.1171941633332,-2.66781703862873,-4.75083665333502,0,-0.571259060745819,-0.504561876463377,-0.74926499225521,-2.10615640158687,-2.60857223976508
Rffl,ENSMUSG00000020696,0,-1.44109274228344,-1.41049114714356,-2.6804140060678,-3.81288489345144,0,-0.203106926453697,-0.63098126988671,-1.38121929792638,-1.84158251469701,-2.69479950944067
Creb5,ENSMUSG00000053007,0,-1.19563765303489,-1.44779677108425,-3.00274577866816,-3.58210563899637,0,-1.06979239121017,-1.33590161826592,-2.71344411821275,-3.00511689552511,-3.96576878188198
Ccl2,ENSMUSG00000035385,0,-1.02803775369922,-1.5603837903925,-2.81832476820655,-3.76900053922299,0,-0.506766651000342,-0.519379452247266,-1.61336085656631,-2.50483420190335,-2.83111474656735
Fgf7,ENSMUSG00000027208,0,-0.528263874517434,-0.645806682679472,-3.36338874013255,-4.59565417723077,0,-0.623466160947713,-0.891265389050314,-2.11593455217421,-3.59563001845946,-4.40744585561122
Hivep3,ENSMUSG00000028634,0,-0.910884980070517,-1.04936305241546,-2.61902337480222,-4.29717701385257,0,-0.301809255263632,-0.361425513573115,-1.33947960465372,-2.10056963351852,-2.15193346783728
Bahcc1,ENSMUSG00000039741,0,-1.14526401344178,-1.04891791034917,-2.83684554177985,-3.83121236708807,0,-0.351220270273185,-0.591150936092692,-1.36155148263938,-2.00792972155343,-2.20340578350341
Zc3h12c,ENSMUSG00000035164,0,-1.07859009424496,-1.07338572793371,-2.32686286410744,-4.3560953718452,0,-1.05222579130119,-1.23222415680231,-1.55025309389386,-2.17946695657003,-2.60003365699696
Tnip1,ENSMUSG00000020400,0,-0.918033528032645,-1.05876752022737,-2.47020473063943,-4.34452675253434,0,-0.191830895345811,-0.305926736018064,-0.943331073922641,-1.67291814662454,-2.80536779246747
Ifrd1,ENSMUSG00000001627,0,-0.812144373167951,-0.965553155868637,-2.37496855935208,-4.3980918046464,0,-0.505592150501972,-0.700911416770918,-1.6157832613798,-2.73080573031686,-4.32643711966123
Tjp2,ENSMUSG00000024812,0,-0.863329907749621,-0.864291220696202,-2.07754773370872,-4.66796946811595,0,-0.334128135933911,-0.537537249265963,-0.837610153077351,-2.20386589210597,-3.13802731678735
Bdkrb2,ENSMUSG00000021070,0,-2.18789182422019,-0.647769405918921,-2.8073549220576,-2.8073549220576,0,0,-0.530631520747481,-2.28972460952566,-2.28972460952566,-1.53804185689035
Tnfsf11,ENSMUSG00000022015,0,-1.29705563322449,-1.33266673634272,-2.07839753889913,-3.70043971814109,0,-1.23152388615177,-1.39021364214105,-1.43779069148458,-2.96533924353297,-3.92599112988983
Angptl4,ENSMUSG00000002289,0,-1.0365823463144,-0.859847193742736,-2.24914344194164,-4.07037306778554,0,0,-0.32694735000493,-1.00524251219197,-1.94098988849096,-2.53649449641275
Egln3,ENSMUSG00000035105,0,-1.41744362258315,-1.02950383866283,-2.21977823157115,-3.40300909928837,0,-0.158886875347854,-0.170019059240333,-0.547384699732223,-1.74257395001376,-1.98861776235846
Cxcl2,ENSMUSG00000058427,0,-2.8073549220576,-1.1840878935033,-2.20373345912567,-1.7694311429827,0,-0.343021628251375,-0.939608284344007,-0.68050957689451,-1.03237181153058,-0.990451103279394
Stx11,ENSMUSG00000039232,0,-0.902193132532685,-0.517117380980011,-2.58516637502395,-3.95333620234479,0,-0.164107625620382,-0.342401853212793,-0.935432622930604,-2.38111578345063,-3.66676052782355
Relb,ENSMUSG00000002983,0,-1.1076010258949,-0.967031841499508,-2.4791318105596,-3.26577803663037,0,-0.221203661115843,-0.330824315488466,-1.10143808515588,-2.40268042009195,-2.73886103088529
Dot1l,ENSMUSG00000061589,0,-0.946384308441063,-1.11376310261897,-2.18498504809682,-3.5702502239101,0,-0.141640291931484,-0.583052994503335,-1.30430188670809,-1.90095421949127,-2.13794628351021
Nxph3,ENSMUSG00000046719,0,-1.30345555622647,-1.53589805681315,-2.02600671837215,-2.93002894241667,0,0,0,0,-1.42336491224862,0
B4galt5,ENSMUSG00000017929,0,-1.08574587600249,-1.1695705146218,-2.29064109613649,-3.23255381637977,0,-0.340565889959883,-0.532674982758232,-0.94486178553522,-1.45864871682233,-1.88826655989368
