"","nrmsd","kb","kt","Kd","k_deg","tau","TS"
"Nfkb2",0.180220950719067,0.00102412469379073,12.2727095207305,999.999947076573,0.00588226033584923,34.5362615347276,480
"Nfkbie",0.195166259440872,0.00102414089285235,847.368416088278,3.30405581032223,0.00831703215621954,36.8880396625921,480
"Rab11fip1",0.179463119654829,0.00376645453004807,120.737690501477,14.7097458216647,0.0139201514210687,50.8294636621816,480
"Rhof",0.204363067142898,0.00134263554688125,7.88069504331797,29.9819240800141,0.0107148056499028,26.6523041368811,480
"Ripk2",0.213587719812383,0.00100000011126127,999.999992437565,902.694787303881,0.00777941262900779,35.2003457076071,480
"Trim47",0.146297767038319,0.00421395877968509,3.27312169763826,9.9800707710411,0.0130815641768567,48.910188904166,480
"Slco2a1",0.143514009002525,0.0534748309137948,0.904000138485718,0.0437143069292028,0.0033383129284281,83.278398283273,480
"Gbp2",0.138944982887076,0.00266823703535833,3.93384685643149,8.7166895467836,0.00412293955085223,74.2841116167543,480
"Slc7a2",0.15440219131085,0.0280843703293636,0.459237596835336,0.653283034320238,0.00408234675631913,64.6220680892054,480
"Cx3cl1",0.162586838951293,0.00656262946974054,600.329306643659,2.80838047815291,0.00194803333787441,61.4189695883787,480
"B4galt5",0.239274247075896,0.00100015301192554,20.168651275031,0.0859786700072607,0.00676885221965734,68.7613322023184,480
"Gda",0.279668170512224,0.0733825149509151,0.141460959746144,0.0672150730475843,0.00415058564051217,82.2450360656235,480
"Il1r1",0.209520083990598,0.0662911574246637,0.191616123945744,0.0504477402854121,0.0078423152800566,59.0030920557021,480
"Jak2",0.174281531072468,0.0582365559275085,0.45195340139593,0.732383277763003,0.00681459201591358,54.2843898606318,480
"Rab20",0.169427726690778,0.0173321285629502,1.14188940158126,2.29758957298034,0.0173178578999385,59.7759037990164,480
"Sdc4",0.235351503312973,0.0103508344994469,12.70917854567,2.46452857817499,0.00244226558697214,12.2088075774191,480
"St3gal1",0.218595436529519,0.0555498345849413,0.260475102767705,0.0615438509306968,0.00690823950621921,61.7437373652229,480
"Slfn2",0.177933993238217,0.0013575537007654,16.4206615290514,8.99534637731894,0.0123450021207324,26.5482849969202,480
"Hivep3",0.243145865445542,0.00552621094526181,305.885652583201,1000,0.00846482810966739,52.1387051257159,480
"Tnfaip2",0.160535554438696,0.043187808397317,4.24861218723997,0.92390430346079,0.00623260457040585,46.7041220012703,480
"Tnfsf11",0.148381273808863,0.00856730380465353,1.22323805443238,1.299268510797,0.0081749017881995,66.3052637109026,480
"Slc39a4",0.136148892255235,0.00177433473890593,0.0419213189311872,1.00635825690098,0.00163506678521653,75.5425587110225,480
"Tmem158",0.182888536309061,0.0242499863287793,0.077082949783102,0.233671094606887,0.00605150063953542,82.3689780229572,480
"Egln3",0.144294435567993,0.0336431688394645,0.215734348363416,0.823530518947972,0.00551802292260557,45.4754369324021,480
"Adtrp",0.156353631937328,0.00100000078823787,79.6776622138705,0.0318849925777852,0.00418279467391584,59.2207475834428,480
"Flt1",0.187209739305236,0.00136554054570891,14.5281180456215,999.999012937045,0.00324161390971685,47.2150049440914,480
"Pilra",0.167967196183807,0.0425117642064504,0.310158357083474,0.368276341741253,0.0067802654824334,120,480
"Ptges",0.17747485615518,0.00124674807467989,999.996882298836,0.839254510458399,0.00358704749138739,89.2630188266485,480
"Fpr1",0.131632375456048,0.00100000002418874,388.060148651504,2.87577431067317,0.000483980137484918,83.6240757187927,480
"Lcn2",0.130601382418336,0.0112178069691831,121.281114673651,0.558281629838853,0.00151776459392381,75.6225684489828,480
