gene,minScore,k1,k2,k_1,k_2,k_3,Kd1,Kd2,Kd3,n1,n2,n3,kp,kt,kdeg,nfkb_input,k2_0,KdA,nA,TS
Fpr1,0.0149677294034872,1,0.0517923289387847,0.001,0.00197101303209907,0.0113836589713083,37.3940829040282,215.273888055006,0.00537897764055467,3,3,3,1,1,0.0380565943317499,0.02,0,0.5,3,120
Gadd45b,0.15247348131044,1,1,0.139150152031104,0.0634941653420823,0,0.0622105838652004,17.3352203003025,0.5,3,3,3,1,1,0.0195887752480555,0.02,0,0.5,3,480
Gbp2,0.0504448548694771,1,1,82.9884165280748,0.00408330443765756,0,0.679524394170335,0.113447100663013,0.5,3,3,3,1,1,0.00900735442334011,0.02,0,0.5,3,480
Gch1,0.0598067432786409,1,0.0408652960864529,0.022544374119158,0.00707618968700995,9.07003635831889,0.0358620648812958,229.862924731981,0.0637245558744335,3,3,3,1,1,0.00828947528651153,0.02,0,0.5,3,120
Gda,0.371959452355672,1,1,3.66110571472366,0.0139679341645165,0,0.0362901178533634,0.0430570104151605,0.5,3,3,3,1,1,0.00387235514705029,0.02,0,0.5,3,480
Glrx,0.0526852607827141,1,1,2.65252968526274,6.42201875777705,0,0.0010729800697019,0.052837143441162,0.5,3,3,3,1,1,0.000812022735762687,0.02,0,0.5,3,480
Gm16685,0.0612694738591404,1,65.1727843863008,0.0175489190366099,0.00114176676248724,225.456322942508,138.5731950736,850.924719525139,0.127398147721577,3,3,3,1,1,0.0121431910812286,0.02,0,0.5,3,120
Gsap,0.0781018343662828,1,0.308588220321928,139.65928168789,0.0100183793717391,0.491941430984128,0.264041576880142,0.00100368109464085,21.0301891610291,3,3,3,1,1,0.00476417915743024,0.02,0,0.5,3,120
Hivep3,0.095643102085157,1,1,0.0137149779621022,34.8643339026766,0,253.231149242148,0.00640787449311474,0.5,3,3,3,1,1,0.0172438877516721,0.02,0,0.5,3,480
Icam1,0.0503166403160294,1,0.0474983009830462,0.0132271946703352,0.147073234654264,0.0373521270571411,2.32265732347872,0.0349190866157413,21.1397012821374,3,3,3,1,1,0.00578593521738959,0.02,0,0.5,3,120
Il1r1,0.151927072442425,1,1,0.00486355135950257,323.218627448955,0,2.48914640461315,0.0015295583426719,0.5,3,3,3,1,1,0.0117031003776698,0.02,0,0.5,3,480
Il1rap,0.0328254574394034,1,0.00322010863801573,101.018104347038,0.001,5.54652680389235,0.0414530101131112,0.0196340558659168,3.96100312156836,3,3,3,1,1,0.00380158109560635,0.02,0,0.5,3,120
Il1rl1,0.0642141669011988,1,1,0.0477585179933106,0.010015981271233,0,2.35098189181576,0.0204086534825565,0.5,3,3,3,1,1,0.0061410207768384,0.02,0,0.5,3,480
Il34,0.0587525672910869,1,1,0.00100017663776557,0.0102562061601636,0,3.79611608534725,0.00110674994038,0.5,3,3,3,1,1,0.0163656267119529,0.02,0,0.5,3,480
Irf1,0.155869761849849,1,1,0.0891348398730887,188.062305765814,0,2.60773574676982,0.00111258051187202,0.5,3,3,3,1,1,0.0302971999330944,0.02,0,0.5,3,480
Itgal,0.0170320903594944,1,3.88411518026027,0.00103881371255461,0.00111335347152416,552.24200819001,2.67806703855284,807.138957180542,81.689075352305,3,3,3,1,1,0.0109160449822562,0.02,0,0.5,3,120
Itpkc,0.183417434073419,1,1,0.111188399192264,163.513462694174,0,2.40051129710808,0.0191363405601668,0.5,3,3,3,1,1,0.0136877815507319,0.02,0,0.5,3,480
Jak2,0.131831528287982,1,1,0.0118039959409435,32.5544432712264,0,255.348959538037,0.0045392081835301,0.5,3,3,3,1,1,0.022111816463157,0.02,0,0.5,3,480
Kcnk10,0.142959731964609,1,1,42.3097534992379,0.0138751791670336,0,115.449420466614,0.664123272370192,0.5,3,3,3,1,1,0.00104712204563798,0.02,0,0.5,3,480
