"",Control_Lps_0,Control_Lps_0.5,Control_Lps_1,Control_Lps_2,Control_Lps_4,Control_Lps_8,Control_Tnf_0,Control_Tnf_0.5,Control_Tnf_1,Control_Tnf_2,Control_Tnf_4,Control_Tnf_8,Mutant_Lps_0,Mutant_Lps_0.5,Mutant_Lps_1,Mutant_Lps_2,Mutant_Lps_4,Mutant_Lps_8,Mutant_Tnf_0,Mutant_Tnf_0.5,Mutant_Tnf_1,Mutant_Tnf_2,Mutant_Tnf_4,Mutant_Tnf_8
Slc6a12,0.749258334697146,0.606981677608783,0.171543711110958,1,0.62080821815455,0.110825624604455,0.749258334697146,0.47383173269217,0.183447253718789,0.462024254160657,0.317457176905247,0.143482644924964,0.427381332641836,0.804037597564565,0.0515584136092671,0.877985249559724,0.449969834028594,0.417872484855892,0.427381332641836,0.185838428220832,0.143694051311963,1,0.294767577515272,0
Sod2,0.231571541502822,0.755723196626902,0.647068136355315,1,0.833520831490483,0.5488203823803,0.231571541502822,0.997497492443347,0.712843696251327,0.300935337959049,0.229680064772443,0.201572042678749,0.101499528736496,0.313029123254068,0.323729366134042,0.722816999437721,1,0.768964670307881,0.101499528736496,0.459570399909399,0.485757274334317,0.487209870152472,0.222392710921847,0.113836107611746
Bdkrb2,0.174064799518431,0.317276182387534,0.179335672827193,0.380153673456324,0.741722220307599,0.695157677056839,0.174064799518431,0.363259895462593,0.818260929336953,0.29273369574182,0.295001695915921,1,0.141174527606157,0.117672596951468,0.0823165362932917,0.234713895987698,0.338677886793309,0.900668732081086,0.141174527606157,0.0556319569776976,0.25235912701953,0.0946114634654243,0.128349985406881,1
Ptges,0.234211827542479,0.149644037877053,0.536231153157026,0.673222070773828,1,0.884637689399742,0.234211827542479,0.809347038412393,0.954369035238685,0.405608834533738,0.33668825280751,0.384441111570354,0.0878024912681722,0.0973344277272901,0.202888577322634,0.62513998682381,1,0.671390577131591,0.0878024912681722,0.238354860764447,0.414841999817492,0.367768283682821,0.257218266761665,0.307132282873349
Slco3a1,0.298467439457417,0.2830891756341,0.32755392024962,0.529737341857773,1,0.757073937036192,0.298467439457417,0.309645419581334,0.486772755757278,0.983154331604644,0.308309688587008,0.291292869817196,0.132662877724476,0.156155930132816,0.174233202283367,0.345298245379236,1,0.923287502324634,0.132662877724476,0.141099339015416,0.213492365325097,0.423495968366969,0.533969575090663,0.21287890673876
Exoc3l4,0.313927953076063,0.261796065027099,0.729312042613449,0.817804815522766,1,0.716999709280773,0.313927953076063,0.595585070161395,0.718882353568239,0.551240586078165,0.880211739436372,0.548126193227131,0.0917048242134241,0.115815648181839,0.15684993566475,0.385401617822765,1,0.476716124809662,0.0917048242134241,0.15659658056675,0.298052086493077,0.491665332141302,0.622527336199267,0.216528259425711
Il1r1,0.459408577987189,0.374305861516686,0.621307867718942,0.663019657830646,0.677767259310665,0.921433779009586,0.459408577987189,0.503182944832046,1,0.558944968311331,0.375406736408983,0.624132652072492,0.323136988524727,0.317737684737707,0.616486955592267,0.627452214825847,0.723973365429128,1,0.323136988524727,0.377648322904389,0.83771454006262,0.55646577150886,0.666830012794146,0.620834426482943
Slfn2,0.162697365952457,0.662093328291786,1,0.811755337235669,0.256471695676278,0.0506043519047682,0.162697365952457,0.543778350422305,0.321654860584099,0.20457308413486,0.103079023078641,0.00582364014092652,0.170759303957747,1,0.432685922140591,0.895222623606238,0.526432455700731,0.205479399772669,0.170759303957747,0.626381175039471,0.483045963897774,0.595150342640246,0.18016345056693,0.0248881011655201
Cebpb,0.417216958525593,0.514909131101758,1,0.685503701508888,0.46297875621688,0.433913435362528,0.417216958525593,0.593658964774754,0.644826646557562,0.548168082255025,0.59844969205755,0.258000296243361,0.408123346365371,0.402405040331534,0.54188346040649,0.74768572411481,1,0.627410936868675,0.408123346365371,0.418538190172217,0.679207167611571,0.430454316427329,0.594572020163507,0.493429009415159
Hivep3,0.154256424995838,0.198761921574502,0.234316154888813,1,0.431889717626073,0.161252281030658,0.154256424995838,0.183378849637885,0.377679049047921,0.387052712018812,0.138256694920942,0.128764269230802,0.201229913108932,0.265836708534126,0.386094749249436,1,0.766770630300512,0.353922893723414,0.201229913108932,0.254351079830023,0.538025850934602,0.69401498288266,0.352092133636377,0.349625965893698
Rab11fip1,0.176757701901123,0.203967035056816,0.645855655485707,1,0.6751040562582,0.314650807012898,0.176757701901123,0.296351617354605,0.446861040978837,0.271338433553205,0.300436405574917,0.188924779352571,0.142479259624239,0.37645254813823,0.325750481443327,1,0.564228418871213,0.232563920141102,0.142479259624239,0.164005731721965,0.374725421610513,0.391052291038276,0.146580429232688,0.154927496774806
Tnfaip2,0.0609780725321254,0.247935070271378,0.511490388747249,1,0.503043843557562,0.164594366236224,0.0609780725321254,0.655466241591778,0.637054347609973,0.178117637792658,0.103388187996871,0.0659933947739512,0.0359791563550605,0.166768419137183,0.313335515236273,1,0.79889084518046,0.261333617916517,0.0359791563550605,0.359200985594401,0.560813556151787,0.526626713085641,0.157251662357448,0.0535820817176916
Gm16685,0.00671889267527334,0.00604782468631941,0.0205106611110927,1,0.892050318128521,0.208701515899151,0.00671889267527334,0.0141634485315594,0.202888674629204,0.489645269355046,0.060098324251084,0.00857776681616636,0.00458066055012107,0.00520649767051221,0.00641017809909522,0.555947048357259,1,0.219178583402861,0.00458066055012107,0.00252710996073291,0.0722054255490218,0.417114304474895,0.188237447348679,0
Ptger2,0.274728056055621,0.173874959731683,0.825554109721485,1,0.975555771385724,0.838118786071195,0.274728056055621,0.195455589735521,0.302687968636003,0.519777285930741,0.218251809122359,0.460340152467595,0.134352102652144,0.101805391286971,0.344689368931715,0.539813421896898,0.849728683377558,1,0.134352102652144,0.105886954556826,0.654991569914732,0.607764959819832,0.635166071935052,0
