,I_L_0,I_L_0.5,I_L_1,I_L_2,I_L_4,I_L_8,I_T_0,I_T_0.5,I_T_1,I_T_2,I_T_4,I_T_8,D_L_0,D_L_0.5,D_L_1,D_L_2,D_L_4,D_L_8,D_T_0,D_T_0.5,D_T_1,D_T_2,D_T_4,D_T_8
Trim47,0.279424262142042,0.202111064303495,0.524161339505704,1,0.454425551628393,0.328214349790118,0.279424262142042,0.561308360266111,0.989987999983278,0.669342829745569,0.303438412682936,0.170871070024602,0.237539968527708,0.112361178298864,0.308909535061161,0.896568878213462,1,0.438821036823507,0.237539968527708,0.432290524303332,0.74162096874651,0.736870874063812,0.44501141155756,0.186955326034758
B4galt5,0.745976911333511,0.612852120841132,0.603282919804814,1,0.585333462831434,0.699414854255563,0.745976911333511,0.566107868664632,0.473695623909189,0.88223025466006,0.425670681733533,0.308749516232698,0.476850573113258,0.477326201055224,0.358102970986786,1,0.952967105696614,0.817112436639721,0.476850573113258,0.447474820032069,0.441729901402114,0.980012706428373,0.600535470515702,0.438098319928759
Flt1,0.238426593869952,0.266600836268515,0.439367567970529,1,0.513433938692743,0.490291425847934,0.238426593869952,0.291866974281137,0.917189200664833,0.676143897285145,0.201592434340087,0.250059234291936,0.122387942348631,0.105124952243069,0.222222942974392,1,0.892042264481017,0.541171938997219,0.122387942348631,0.154897770560059,0.768342638859482,0.8866704056592,0.307351679388889,0.221202750159003
Nfkb2,0.146911626279329,0.206519863666298,0.49082406939535,0.800468635383526,0.414347789623481,0.31076960377147,0.146911626279329,0.675812315479732,1,0.351804504699151,0.194276344627663,0.0956714166580884,0.213019956197971,0.270999314532507,0.538916935419932,0.832423995855623,0.843992113804998,0.503980772271023,0.213019956197971,0.734587267997816,1,0.723051566730943,0.383420249723854,0.235270748251052
Wnt11,0.412092084083431,0.260812439597524,0.265356678124763,1,0.457291767837058,0.342866776120034,0.412092084083431,0.537502871772682,0.807167916362673,0.851857218608714,0.509254221285502,0.394577273543653,0.267250807596413,0.0540025252095604,0.249327253871679,0.728200539334595,0.388566701026824,0.347317522394216,0.267250807596413,0.196586546270918,0.608018858909577,1,0.388757239273873,0.210339178610322
Bcl3,0.12865027286425,0.158829756516126,0.423662836065195,1,0.530888689560228,0.375369471219082,0.12865027286425,0.873768680556797,0.844851094211394,0.311693482938748,0.100803401504838,0.0911211950307508,0.0876448182840128,0.0956796259448172,0.285837311205133,1,0.547518440492544,0.455435183975835,0.0876448182840128,0.429380528061463,0.470737539179534,0.620661164729355,0.18975360607557,0.144684027088384
Ccl2,0.0443342310349532,0.117820702180818,0.725257192166762,1,0.524895594129212,0.617058233660966,0.0443342310349532,0.96358426133586,0.800602131684834,0.348245780655075,0.0788020176731473,0.0774452376307143,0.0405133335117683,0.0847511795940939,0.346578108797653,0.749743592975115,1,0.767967809858071,0.0405133335117683,0.534823867896731,0.646140054972369,0.642896251202434,0.330971093688865,0.138362172716019
Kcnk10,0.0672803402585194,0,0.144411797618919,1,0.179183713111664,0.111956498324909,0.0672803402585194,0.0319111166915136,0.864822767531435,0.70717998085815,0.14253179371256,0.0644207793540657,0.0311555367031421,0.0236081277643359,0.0968868217705996,1,0.135894864726567,0.0368086780079443,0.0311555367031421,0.0081848735126005,0.556926534662405,0.826485079583077,0.13218479397092,0
Tmem132e,0.0523631501215382,0.0397686676032675,0.157350561138346,0.921233027869306,0.488094779475258,0.290446159375491,0.0523631501215382,0.161433233220583,1,0.693486624941309,0.138662603417754,0.0501376022669013,0.0317592464808395,0.033090185194811,0.0277774384294127,0.486770988687236,1,0.450263163928841,0.0317592464808395,0.0531896477449498,0.470948102034516,0.435661245336245,0.202119264999762,0.140602765860851
Tnip1,0.216466478467668,0.291799548794527,0.535442400274453,0.912917829535812,0.705643694234071,0.471009824917718,0.216466478467668,0.496514484179461,1,0.309611940125386,0.314075050195306,0.214597140173056,0.171635611321689,0.229327549293152,0.279444546731338,0.86216217487824,1,0.661234966806101,0.171635611321689,0.306157315324198,0.732329606731407,0.639031568673707,0.321133886456448,0.171304002710214
